asset_id,data_domain,asset_name,status,source_location,sample_scope,tool_fields,processing,reproducibility
D01,D1元数据,论文元数据与目录,实际呈现,封面、目录,1篇论文(109页),题名、作者、学校、学位、导师、年份,文本提取,高
D02,D2参考文献,文后参考文献与正文引用,实际呈现,正文第1-70页、参考文献第71-75页,116编号116实体205引用,书目、页码、上下文,已另建映射,高
D03,D3研究逻辑,研究背景与3个研究问题,实际呈现,第1章第1-3页,3个问题,教案设计如何/实施效果如何/反思如何,文本提取,高
D04,D3研究逻辑,STEAM教育理念与6维度设计理念,实际呈现,第2章第5-13页,6维度,跨学科性/体验性/设计性/协作性/艺术性/技术增强性,理论阐述,高
D05,D3研究逻辑,文献综述(STEAM教学设计+高中函数教学),实际呈现,第2章第8-13页,国内外文献,STEAM教学设计/函数教学研究,文献综述,高
D06,D4课程开发,案例一教案:指数函数对数函数幂函数,实际呈现,第4章第26-39页+附录E/F,1个案例2版教案,化学(PH函数关系)+医学+文学;6环节,教案设计,高
D07,D4课程开发,案例二教案:三角函数,实际呈现,第4章第34-39页+附录G/H,1个案例2版教案,物理(水星仰角)+天文;6环节,教案设计,高
D08,D4教学实施,案例一教学实施,真实实施数据,第4章第39-51页,高一13班约50人,课堂观察+录像,叙事记录,中
D09,D4教学实施,案例二教学实施,真实实施数据,第4章第51-62页,高二9班约50人,课堂观察+录像,叙事记录,中
D10,D4量化数据,案例一观测表评价结果,实际呈现,附录I,3维度13观测点,情境引入/实验设计/函数建构;√/×评定,W教师评定,中;单评
D11,D4量化数据,案例二观测表评价结果,实际呈现,附录J,3维度,同上,W教师评定,中;单评
D12,D4量化数据,案例一调查问卷数据,实际呈现,第4章第39-51页+附录M,约50人,10客观题+主观题;5级量表;数学期望,频数分析+数学期望,中;有原始数据附录
D13,D4量化数据,案例二调查问卷数据,实际呈现,第4章第51-62页+附录N,约50人,同上,同上,中;有原始数据附录
D14,D5工具,问卷信效度(案例一),实际呈现,第3章第20页,案例一问卷,Cronbach α=0.910;KMO=0.861;Bartlett Sig=0.000,SPSS分析,高
D15,D5工具,问卷信效度(案例二),缺失,—,案例二问卷,未报告,—,不可复核
D16,D4学生交流,教师访谈记录,实际呈现,附录K/L,W教师,半结构化访谈;教学目标/STEAM体现/实施困难,文本记录,中
D17,D4工程过程,教案第一版与第二版对比,实际呈现,附录E-H,2案例×2版,教案修订,版本对比,高
D18,D6主张证据,3个结论,实际呈现,第5章第68-69页,3条,多元化目标/核心素养培养/学情把握,作者归纳,中
D19,D6主张证据,4个建议,实际呈现,第5章第69-70页,4条,多元目标/知识模块/课程开发/研究,作者建议,高
D20,D7缺口,无前后测,应存在,研究过程,无,无,未设计,不可复核
D21,D7缺口,无对照组,应存在,研究过程,无,无,未设计,不可复核
D22,D7缺口,案例二问卷信效度缺失,应存在,第3章,案例二,未报告,—,不可复核
D23,D7缺口,评分者一致性未报告,应存在,观测表,W教师单评,无Kappa/ICC,未报告,不可复核
D24,D7缺口,伦理说明缺失,应存在,全文,无,知情同意/隐私/伦理审查,未提及,不可复核
