data_domain,metric,value,unit_or_denominator,sample,analysis_method,evidence_location,verification_note
教案设计,教案总数,35,份,1套教案,设计统计,总览HTML,必修一20+必修二15
教案设计,必修一教案数,20,份,必修一,设计统计,必修一目录,第1-7章全节覆盖
教案设计,必修二教案数,15,份,必修二,设计统计,必修二目录,第1-4单元全节覆盖
教案设计,核心素养维度数,5,维度,每份教案,设计统计,各教案,技术意识/工程思维/创新设计/图样表达/物化能力
教案设计,原创教学工具数,3,个,3份教案,设计统计,教案3/8/11,三棱镜/五步法/反馈环
教案设计,AI角色数,3,种,1套教案,设计统计,总览HTML,工程顾问/分析助手/评价伙伴
技术方案,FreeCAD模型数,4,个,1套,文件统计,模型目录,DeskLamp/Greenhouse/LBracket/TrussBridge
技术方案,模型文件格式数,3,种,4个模型,文件统计,模型目录,FCStd+STEP+PNG
教案设计,教案8课时,2,课时,1份教案,设计统计,必修二/08,90分钟
教案设计,其他教案课时,1,课时/份,10份教案,设计统计,各教案,45分钟
教案设计,教案8桁架桥部件数,52,部件,1个模型,设计统计,TrussBridge,Warren桁架
教案设计,教案6台灯部件数,5,部件,1个模型,设计统计,DeskLamp,台灯模型
课标对照,必修一覆盖章数,7,章,必修一,对照分析,教案vs课标,全7章全节覆盖(35份完整版)
课标对照,必修二覆盖单元数,4,单元,必修二,对照分析,教案vs课标,全4单元全节覆盖(35份完整版)
