编号,缺口,证据状态,对结论的影响,能否补充,建议动作
G01,具体年级班级人数与分组,未报告,无法判断适用范围和样本结构,未知,补充匿名样本登记
G02,实际实施学校日期教师与课时,未报告,无法确认35课时方案是否落地,未知,保存实际进度与实施日志
G03,学生初始水平与基线,未报告,无法判断学习增量,可在新研究补采,设置概念图和情境前测
G04,学生方案版本与决策依据,未呈现,无法分析工程思维与迭代,可在新研究补采,保存版本和变更理由
G05,支架和绿植角成品,未呈现,无法确认项目完成,未知,归档匿名作品图片与工程文件
G06,结构与水电安全测试,未呈现,无法确认安全与性能,可在新研究补采,制定标准测试协议
G07,浇水照明通风远程控制读数,未呈现,无法评价控制系统性能,可在新研究补采,导出传感器和控制日志
G08,作品与过程评价量规,未提供,无法界定成功标准,可补设计,建立行为锚点量规
G09,评分原始记录与评分者一致性,未提供,无法判断评价可靠性,可在新研究补采,双评并计算一致性
G10,课堂观察学生交流与教师干预,未报告,无法解释学习过程,可在新研究补采,匿名观察编码与干预日志
G11,大概念理解与迁移任务,未报告,无法支持结构化和迁移主张,可在新研究补采,设置新情境延迟任务
G12,伦理知情同意数据治理说明,未报告,无法判断研究数据使用合规性,可在新研究补充,建立匿名化授权与保存规则
