gap_id,gap_description,impact,can_paper_supply,suggested_action
G01,具体年级、班级、样本量与实施日期未报告,无法判断代表性和课堂适用边界,需作者或教学档案补充,建立匿名班级与实施登记
G02,统一起点桥梁的尺寸、结构与基线性能未报告,无法判断各组真正同质及优化幅度,当前论文不能,保存模型图样并做各组优化前3次基线测试
G03,限定材料的具体数量与实际用量未报告,无法比较资源效率和方案权衡,当前论文不能,建立材料发放回收与成本台账
G04,五阶段教学时间未报告,无法复核学生主体时间约70%的说法,当前论文不能,用课堂录像按活动类型计时编码
G05,学生初版与修订版方案未附,无法分析方案生成、决策与迭代,当前论文不能,匿名保存方案版本及修订理由
G06,桥梁荷载—位移原始数据和失效记录未附,无法确认是否达到2 kg和<2 mm目标,当前论文不能,使用标准测试表记录多次测量与失效模式
G07,测试协议未说明加载速率、保持时间、测点、仪器精度与重复次数,重复性和测量误差未知,可由作者补充方法,制定标准操作规程并记录校准
G08,表2和表3的学生原始评分/评语未附,无法判断评价分布与学习表现,当前论文不能,保存匿名自评互评教师评分长表
G09,评价尺度、权重、行为锚点和评分者一致性未报告,评价可靠性和可比性未知,可改进工具,补充四级锚定量规、双评与一致性统计
G10,无前测、对照或迁移任务,不能支持学习增益和因果效果,当前论文不能,增加基线任务、比较设计与延迟迁移评价
G11,学生原话、反思与访谈材料未呈现,无法了解学生如何解释工程权衡,当前论文不能,匿名采集反思并建立质性编码记录
G12,伦理、知情同意、匿名化与数据保存规则未报告,数据治理条件不明,可在后续研究补充,建立伦理说明与最小必要数据规范
G13,期次与DOI或稳定数据库标识未核准,正式引用完整性不足,可由权威元数据补充,从期刊官网或权威数据库二次核验
