asset_id,data_domain,asset_name,status,source_location,sample_scope,tool_fields,processing,reproducibility
D01,D1元数据,论文元数据与目录,实际呈现,封面、目录,1篇论文,题名、作者、学校、导师、年份、专业,文本提取与原页核对,高
D02,D2参考文献,文后参考文献与正文引用,实际呈现,正文第1-40页、参考文献第41-42页,29编号、28实体、29位置,书目、页码、上下文,已另建映射,高
D03,D3研究逻辑,研究背景、目标、内容、方法,实际呈现,第1章第1-3页,1章,背景、目标、内容、意义、方法,文本提取,高
D04,D3研究逻辑,核心概念界定,实际呈现,第2章第4-7页,5个概念,3D打印、创客教育、校本课程、创客、3D打印教育,概念定义,高
D05,D3研究逻辑,理论基础,实际呈现,第2章第8-10页,3个理论,成果导向教育、基于项目的学习、多元智能,理论阐述,高
D06,D3研究逻辑,国内外研究现状综述,实际呈现,第2章第11-13页,国外3例、国内3例,美英韩政策、希腊研究、国内小学案例,文献综述,中
D07,D3研究逻辑,校本课程开发策略,实际呈现,第2章第7-8页,1套策略,开发主体4模块×课程内容4模块,作者设计,高
D08,D4课程开发,需求分析,实际呈现,第3章第15-16页,3类需求,社会、学校、学生需求,文本描述,中
D09,D4课程开发,三维课程目标,实际呈现,第3章第16-17页,1套目标,知识与技能、过程与方法、情感态度价值观,作者设计,高
D10,D4课程开发,课程内容选定(软件/打印机/资源),实际呈现,第3章第17-20页,3项选定,3D One软件、FDM打印机、3D One社区资源,作者选定,高
D11,D4课程开发,课程内容实施与教学案例,实际呈现,第3章第20-26页,7个班级、1学期,教学方法、案例教学、实施效果,叙事性记录,中
D12,D4教学实施,教学实施条件,实际呈现,第3章第20-21页,1所学校、1台打印机,机房、3D打印机、软件,描述,中
D13,D4工程过程,学生期末作品,部分呈现,第4章第27-29页,7个班级、多个小组,3D One源文件、PPT、创意作品,图片展示,低;选择性样例
D14,D4量化数据,课程期末成绩等级,汇总呈现,第4章第30页,7个班级,四等级(90+/80-89/70-79/60-69),科组评定,低;无原始分数表
D15,D4量化数据,课后调查问卷数据,汇总呈现,第4章第31-38页、表4-1至4-12,614份有效问卷、14个班级,14题、5维度,频数与百分比,中;已转录
D16,D4量化数据,问卷抽样公式,实际呈现,第4章第31页,N=1011、n≥279,有限总体抽样公式,公式计算,高
D17,D4量化数据,男女交叉分析,图形呈现,第4章图4-7至4-11,614份,性别×各题交叉,图表,中;无原始数据表
D18,D4学生交流,学生课堂表现与反馈,部分呈现,第3-4章多处,7个班级,课堂参与、作品展示、害羞敷衍,教师观察叙事,低
D19,D4教学实施,授课教师反馈,部分呈现,第4章第39页,科组老师,教学问题总结,叙事归纳,低
D20,D4工程过程,学生竞赛表现,部分呈现,第3章第23-24页,36名学生参赛,年级3D作品设计比赛、区创客节,叙事记录,低
D21,D5外部证据,政策与文献引文,实际呈现,全文,29篇参考文献,政策、理论、案例,引用,中;需回原文核验
D22,D6主张证据,研究结论,实际呈现,第5章第40页,4条结论,可行性、三维目标、教学效果、能力提升,作者归纳,中
D23,D7缺口,原始问卷数据与SPSS文件,应存在,研究过程,614份,原始答题数据,未随论文附,不可复核
D24,D7缺口,学生作品原始3D文件与PPT,应存在,第4章,各小组,3D One源文件、PPT,未随论文附,不可复核
D25,D7缺口,期末成绩原始评分表,应存在,第4章,7个班级×各小组,分数、等级、评语,未随论文附,不可复核
D26,D7缺口,访谈或观察记录原件,应存在,教学过程,教师、学生,访谈、观察,未呈现,不可复核
