reference_label,entity_id,pdf_page,thesis_page,section,citation_context,citation_mode,citation_purpose,mapping_confidence
1,E001,10,1,1.1 研究背景,近年来，为了进一步探索教学创新，一些国家尝试将 3D 打印技术应用于 STEAM 课程中，推动技术对创新教学的发展，使得技术与艺 术人文教育和工程教育融合成学校文化的一部分[1]。,转述/概述,技术背景或应用依据,高
2,E002,10,1,1.1 研究背景,一些国家和组织探索 3D 打 印应用于STEAM课程，推动技术驱动的教学创新，得技术与工程教育和艺术人文 教育融合成为学校文化的一部分[2]。,转述/概述,技术背景或应用依据,高
3,E003,10,1,1.1 研究背景,中国教育行业应抓住这一契机， 将3D 打印 机引入中小学课堂，提升学生对新技术的认识，拓展学生的视野，激发学生的创 新思维[3]。,转述/概述,技术背景或应用依据,高
4,E004,10,1,1.1 研究背景,教育部曾在发布的《国家中长期教育改革和发展规划纲要（2010— 2020）》中指出：全面提高普通高中学生综合素质，进学生全面而又个性地发展， 高学生的学习能力、实践能力、创造力，加强学生对社会的适应性[4]。,转述/概述,政策或课程标准依据,高
5,E005,10,1,1.1 研究背景,20 世纪 90 年代中期，3D 打印技术横空出世并迅速在全球范围内得以推广 应用[5]据 WohlersAssociates 统计，3D 打印技术的行业应用主要分布于消费电 子、汽车、医疗、航空航天、建筑、科研等领域。,转述/概述,技术背景或应用依据,高
6,E006,10,1,1.1 研究背景,2013 年 5 月 30 日在北京召开的首届世界 3D 打印技术产业大会成立了世界 3D 打印技术产业联盟，标志着 3D 打印技术真正进入了大规模应用和研究的阶段 [6]。,转述/概述,技术背景或应用依据,高
7,E007,11,2,1.1 研究背景,第1章 绪论 上海师范大学硕士学位论文 2013 年《地平线报告》的基础教育版，首次将 3D 打印的教育应用列入了 “待普及”的新技术清单，并对应用案例作了较为详细的介绍[7]。,可能直接引语或带引号转述,技术背景或应用依据,高
8,E008,11,2,1.1 研究背景,同时，3D 打印技术的运用，将为其他学科的发 展提供新思路、新视角，对学生创造力、批判性思维能力等 21 世纪技能的培养， 起到非常重要的作用[8]。,转述/概述,技术背景或应用依据,高
4,E004,11,2,1.1 研究背景,“3D 打印技术的最大优势在于能拓展人们的想象空间。 不论是教师还是学生，一旦他们有新的想法时，都可以通过3D打印技术去实现。 这使得日后的教育将变得更灵活，使得学生日后不仅仅是单纯接受知识的被动 者，还将成为对知识主动的探索者。”[4] 因此在教学中，运用3D打印技术可作 为教学辅助工具，深化学生对抽象知识的领悟，加深理解，提高学生的学习效率， 并将复杂的知识变得更容易理解。,可能直接引语或带引号转述,技术背景或应用依据,高
10,E010,11,2,1.1 研究背景,3D打印 技术的应用有助于营造真实的问题情境，以便学生可以更形象、直观地去理解所 学的东西[10]。,转述/概述,技术背景或应用依据,高
11,E001,11,2,1.1 研究背景,在教育领域，3D 打印课程中以 3D 打印技术、3D 打印机的操作、3D 建模为基础知识进行讲解， 可以培养学生的创新思维和动手实践能力[11]。,转述/概述,技术背景或应用依据,高
