data_domain,metric,value,unit_or_denominator,sample,analysis_method,evidence_location,verification_note
学生A作品,技术实现等级,优秀,等级,1名学生,教师评定,第3页,论文报告值
学生A作品,功能性与合理性等级,优秀,等级,1名学生,教师评定,第3页,论文报告值
学生A作品,创新性与美感等级,良好,等级,1名学生,教师评定,第3-4页,论文报告值
学生A作品,文档与表达等级,优秀,等级,1名学生,教师评定,第4页,论文报告值
学生A作品,盒体壁厚,1.5,mm,1件作品,实测,第3页,论文报告值
学生A作品,部件拼接间隙,<0.3,mm,1件作品,实测,第3页,论文报告值
学生A作品,generate_divider函数重构次数,3,次,1名学生,Git历史,第3页,论文报告值
学生B作品,技术实现等级,良好,等级,1名学生,教师评定,第4页,论文报告值
学生B作品,功能性与合理性等级,良好,等级,1名学生,教师评定,第4页,论文报告值
学生B作品,创新性与美感等级,良好,等级,1名学生,教师评定,第4页,论文报告值
学生B作品,文档与表达等级,良好,等级,1名学生,教师评定,第4页,论文报告值
学生A CT/EDT观察,计算思维-抽象与分解,优秀,等级,1名学生,教师观察,第3页表1,论文报告值
学生A CT/EDT观察,计算思维-算法设计,优秀,等级,1名学生,教师观察,第3页表1,论文报告值
学生A CT/EDT观察,计算思维-调试与优化,优秀,等级,1名学生,教师观察,第3页表1,论文报告值
学生A CT/EDT观察,工程设计-需求分析与约束识别,优秀,等级,1名学生,教师观察,第3页表1,论文报告值
学生A CT/EDT观察,工程设计-方案迭代与决策,良好,等级,1名学生,教师观察,第3页表1,论文报告值
学生A CT/EDT观察,工程设计-文档与沟通,优秀,等级,1名学生,教师观察,第3页表1,论文报告值
学生A CT/EDT观察,跨学科融合-数学应用,优秀,等级,1名学生,教师观察,第3页表1,论文报告值
学生A CT/EDT观察,跨学科融合-物理/工程意识,良好,等级,1名学生,教师观察,第3页表1,论文报告值
学生A CT/EDT观察,学习态度与习惯-专注度与韧性,优秀,等级,1名学生,教师观察,第3页表1,论文报告值
课程实施,实施轮次,2,轮,高一,行动研究,第4页,论文报告值
参考文献,文后编号数,9,条,1篇论文,文献统计,第4页,论文报告值
参考文献,正文引用标记数,0,处,1篇论文,正文扫描,第1-3页,正文无引用标记
