gap_id,gap_description,impact,can_paper_supply,suggested_action
G01,学生原始评分数据未附,无法核验评价质量,当前不能,收集全样本4维度评分
G02,学生设计方案原始文件未附,无法核验设计质量,当前不能,保存系统架构/流程图/方案文件
G03,AI交互记录未附,无法核验KIMI使用情况,当前不能,保存AI对话记录
G04,无对照组或对比课,不能排除其他因素,否,增设对照课
G05,无前后测数据,无法量化素养提升,否,增设前后测
G06,成效仅教师观察归纳,"""明显改善""无量化",否,补充量化指标
G07,评价量规无信效度验证,评价可靠性未知,否,试测验证
G08,无评分者一致性,互评可靠性未知,否,双评+一致率
G09,作者/单位/期刊未标注,元数据不完整,需作者澄清,补全元数据
G10,无参考文献,无法追溯理论依据,否,补充参考文献
G11,分组依据简略,分层有效性未知,需作者澄清,说明分组标准与依据
G12,伦理与数据治理未说明,学生数据/AI使用条件不清,需补材料,知情同意、AI使用规范
