asset_id,data_domain,asset_name,status,source_location,sample_scope,tool_fields,processing,reproducibility
D01,D1元数据,案例元数据,实际呈现,申报案例封面,1份案例,题名、作者、单位、学科、学段,文本提取,高
D02,D3研究逻辑,案例背景与缘起,实际呈现,第1页第一节,1节,"学生""会说不便不会发现问题""",文本提取,高
D03,D3研究逻辑,教学目标(问题意识/工程思维/创新设计),设计数据,第1页,3项目标,问题意识、工程思维、创新设计,设计陈述,高
D04,D4教学实施,教学设计:六步流程,设计数据,第2-4页,1节课,真实情境导入→公式建构→方案对比→数字验证→方法回扣→迁移应用,设计陈述,高
D05,D4教学实施,核心工具:问题链追踪器,设计数据,第2页,1个工具,方案状态/解决了什么/仍存在/下一步追问四栏,设计陈述,高
D06,D4教学实施,核心公式:问题=期望-现状,设计数据,第2页,1个公式,期望/现状/问题三栏,设计陈述,高
D07,D5技术方案,FreeCAD三维建模应用,设计数据(已实施),第2页第四节,1节课,水杯牙刷架模型旋转/放大/局部观察,课堂使用,中
D08,D5技术方案,AI辅助分析应用,设计数据(已实施),第2页第四节,1节课,课前学情归类/小组问题清单/参数脚本体验,课堂使用,中
D09,D4学生交流,学生课前照片与描述,真实实施数据,第1-2页,全体学生,照片+一句话描述,AI归类,中;未附原件
D10,D4量化数据,课前现象性表达vs课后技术性表达对比,部分呈现,第4页第四节,1次课堂样本,"课前""有水/会脏/不好放""→课后""放置方式不利于排水/刷头缺少防尘保护""",前后对比,中;单次样本
D11,D4量化数据,学生问题链记录完成情况,部分呈现,第4页,1次课堂样本,多数学生完成三行问题链记录,教师观察,中;无量化数据
D12,D4量化数据,学生方法使用情况,部分呈现,第4页,1次课堂样本,能说出至少两种发现问题的方法,教师观察,中;无量化数据
D13,D4学生交流,学生增值表现(追问隐性问题),部分呈现,第4页,部分学生,杯口朝下牙刷柄如何固定/支架自身是否积水/清洗是否方便,教师观察,中;选择性样例
D14,D4教学实施,迁移应用任务(5个场景),设计数据(已实施),第3页第五节,小组选择,雨伞收纳/文具整理/耳机线/拖鞋/钥匙,课堂实施,中
D15,D4教学实施,评价方式(三类结合),设计数据,第3页第六节,1套,诊断性/过程性/表现性,设计陈述,高
D16,D6主张证据,创新亮点(5项),设计数据,第3-4页第三节,5项,追踪问题/用方法/数字赋能/课堂成效/可复制流程,设计陈述,高
D17,D6主张证据,课堂改进成效,部分呈现,第4页第四节,1次样本,发言从现象性转向技术性,前后对比,中;单次样本
D18,D7缺口,学生前后测标准化数据,应存在,教学过程,全体学生,无,未采集,不可复核
D19,D7缺口,问题链追踪器原始记录,应存在,课堂过程,全体学生,四栏记录,未附,不可复核
D20,D7缺口,FreeCAD截图与AI对话记录,应存在,课堂过程,课堂使用,数字文件,未附,不可复核
D21,D7缺口,对照组或对比课,应存在,研究过程,无,无,未设计,不可复核
D22,D7缺口,学生样本量与基本特征,应存在,教学实施,未报告,人数、班级,未报告,不可复核
