data_domain,metric,value,unit_or_denominator,sample,analysis_method,evidence_location,verification_note
教学设计,教学流程环节数,5,环节,1套,设计统计,第2页,情境导入→系统分析→方案设计→模拟验证→多元评价
教学设计,痛点数,3,个,1份案例,问题分析,第1-2页,设计数据
教学设计,双路径数,2,条,1套,设计统计,第2页,AI赋能+项目化
教学设计,分层任务数,3,层,1套,设计统计,第3-4页,基础/提升/拓展
教学设计,评价维度数,4,维度,1套量规,设计统计,第4页,系统思维/探究实践/协作表达/学科素养
教学设计,评价总分,100,分,1套量规,设计统计,第4页,30+30+20+20
教学实施,学生总数,56,人,1个班,实施统计,第2页,已报告
教学实施,小组数,8,组,1个班,实施统计,第2页,每组7人
教学实施,小组成员类型数,4,类型,1个组,设计统计,第2页,逻辑分析/动手操作/创意设计/文案表达
技术方案,AI工具数,1,个,1节课,设计统计,第2-3页,KIMI
AI模拟,场景数,3,个,1次课堂,课堂实施,第3页,响应态/旅游态+响应态/花期强制停靠
AI模拟,响应态时间缩短,35,%,1个场景,AI预测,第3页,AI预测值
AI模拟,响应态老年投诉率上升,40,%,1个场景,AI预测,第3页,AI预测值;学生决策:不采纳
AI模拟,旅游态满意度提升,25,%,1个场景,AI预测,第3页,AI预测值;学生决策:采纳
AI模拟,旅游态效率提升,20,%,1个场景,AI预测,第3页,AI预测值
AI模拟,花期停靠承载力提升,30,%,1个场景,AI预测,第3页,AI预测值;学生决策:采纳
老年乘客占比,约28,%,1条专线,背景数据,第1页,论文报告值
创新亮点数,4,项,1份案例,设计统计,第6-7页,设计数据
