data_domain,metric,value,unit_or_denominator,sample,analysis_method,evidence_location,verification_note
课程设计,模块数,6,个,1套课程,设计统计,申报书第四节,设计数据
课程设计,课时数,17,课时,1套课程,设计统计,申报书第四节,设计数据
课程设计,课时数据已编码,17,课时,lessons-data.js,代码审查,教学网站代码,已实现
痛点分析,痛点数,7,个,1份申报书,问题分析,申报书第二节,设计数据
技术方案,技术手段数,6,项,1套平台,设计统计,申报书第三节,设计数据
技术方案,JS模块数,8,个,1套网站,代码审查,教学网站,已实现
技术方案,网站总大小,556,KB,1套网站,文件统计,教学网站,实测
错误诊断,错误模式数,30+,种,1个模块,设计统计,申报书、error-diagnosis.js,待验证准确率
评价系统,徽章数,15+,种,1个模块,设计统计,申报书、evaluation.js,待验证效果
题库系统,题型数,4,种,1个系统,设计统计,申报书、quiz-system.js,待验证批改准确性
题库系统,考试类型数,4,类,1个系统,设计统计,申报书,课堂/单元/期中/期末
实施计划,研究周期,2,年,1个项目,计划统计,申报书,2025.07-2027.06
实施计划,阶段数,4,个,1个项目,计划统计,申报书,开发/试验/优化/总结
教学试验,计划样本,60,人,双班,计划,申报书第四节,"计划态,尚未实施"
关联课题,原课题课时,21,课时,FreeCAD课程,对比,申报书第六节,设计数据
关联课题,原课题模块,6,个,FreeCAD课程,对比,申报书第六节,设计数据
