数据编号,数据名称,状态,来源与位置,样本或范围,工具或载体,字段或内容,处理过程,可复核性
A01,基础元数据,实际呈现,PDF1及页眉页码,单篇论文,PDF,题名作者期刊年份期次页码课题,逐项转录并视觉核对,高
A02,大概念定义与理论论述,实际呈现,PDF1/论文67/第一节,理论文本,正文,定义迁移价值结构流程系统控制,摘要与证据定位,高
A03,教学活动探究历程框架,实际呈现,PDF2/论文68/图1,单个项目框架,图1,五个真实问题五类子项目四类知识体系,逐框转录并视觉核对,高
A04,结构单元课时表,实际呈现（设计数据）,PDF2-3/论文68-69/表1,计划10课时,表1,教学内容任务课时,转录并复算,高
A05,流程单元课时表,实际呈现（设计数据）,PDF3/论文69/表2,计划7课时,表2,教学内容任务课时,转录并复算,高
A06,系统单元课时表,实际呈现（设计数据）,PDF4/论文70/表3,计划8课时,表3,教学内容任务课时,转录并复算,高
A07,控制单元课时表,实际呈现（设计数据）,PDF4/论文70/表4,计划10课时,表4,教学内容任务课时,转录并复算,高
A08,教学实践实施,作者声称,摘要及第三节,样本未报告,文字陈述,进行了实践探析,未见原始实施记录,低
A09,学生工程产物,设计预期,PDF2-4/论文68-70,学生或小组未报告,方案模型原型,支架流程系统模型控制装置,原件未附,低
A10,学习成效数据,研究应有但缺失,全文,样本未报告,量规前后测迁移任务,核心素养大概念理解迁移问题解决,保持缺失,不可复核
A11,文后参考文献与正文编号,实际呈现,PDF1和4/论文67和70,3条文献,正文编号及文后表,编号1至3,内部编号映射核对,中
