claim_id,claim,raw_data,analysis,evidence_location,counterexample_limit,support_level,verification_status
C01,基于大概念的教学设计已完成,教学设计全文,文档审查,第1-4页,—,强(设计存在)
C02,大概念能将单课时知识串联形成学科认知体系,理论阐述,理论分析,第1页,无实证验证,中(理论论述)
C03,单元教学(4课时4节)能层层递进完成项目,设计陈述,设计审查,第2页,无实施全程数据,中(设计存在)
C04,便携式取暖器项目贴近生活且难度适中,项目选择理由,设计陈述,第2页,—,中(设计合理)
C05,5维度核心素养目标覆盖课标要求,目标设计,设计审查,第2页,无目标达成度测量,中(设计存在)
C06,活动1(暖手宝体验)能提升问题敏感性,活动设计+实施,设计+教师叙述,第3页,无学生反馈数据,中(设计;弱(成效)
C07,活动3(明确设计问题)能培养技术意识和工程思维,活动设计+实施,设计+教师叙述,第4页,无学生产出数据,中(设计;弱(成效)
C08,学生课堂参与度很高,教师观察,教师观察,第4页,无量化,中(教师观察)
C09,大概念教学在通用技术课程中可行,教学反思,教师反思,第4页,无对照、单次,中(教师反思);弱(因果)
C10,大概念教学可融合五育协同育人,反思论述,设计陈述,第4页,无实施证据,弱(设计设想)
