asset_id,data_domain,asset_name,status,source_location,sample_scope,tool_fields,processing,reproducibility
D01,D1元数据,论文元数据,实际呈现,封面/页眉,1篇论文,题名、作者、单位、期刊、年份,文本提取,高
D02,D2参考文献,文后参考文献,实际呈现,第4页,2编号2实体0正文引用,书目,已提取,高;正文无引用标记
D03,D3研究逻辑,大概念教学理论与背景,实际呈现,第1页摘要/正文,1节,布鲁纳认知结构/学科大概念/跨学科大概念,理论阐述,高
D04,D3研究逻辑,通用技术六大概念,实际呈现,第1页,6个,技术/设计/结构/流程/系统/控制,概念列举,高
D05,D4教学实施,单元教学设计:4课时4节,设计数据,第2页,4课时,发现与明确问题/挑选材料/技术试验/技术设计方案,设计陈述,高
D06,D4教学实施,项目载体:便携式取暖器,设计数据,第2页,1个项目,基于真实生活情境(冬季冻疮/暖水袋不安全),设计陈述,高
D07,D4教学实施,教学目标(核心素养5维度+课标3要求+整体目标),设计数据,第2页,5维度+3要求,技术意识/工程思维/创新设计/图样表达/物化能力,设计陈述,高
D08,D4教学实施,单课时教学实施过程,设计数据,第3-4页,1课时,创设情境→提出问题→合作探究→解决问题→课堂小结→课后探究,设计陈述,高
D09,D4教学实施,教学重难点,设计数据,第3页,2项,重点:了解问题来源并明确;难点:明确技术要求和条件限制,设计陈述,高
D10,D4教学实施,活动1:暖手宝使用体验发现问题,设计数据(已实施),第3页,4人一组,学生作为使用者体验产品并记录问题,课堂活动,中;已实施
D11,D4教学实施,活动2:信息搜集与整理,设计数据(已实施),第3页,4人一组,功能/式样/材料/价格×实地/用户/网上/图书,课堂活动,中;已实施
D12,D4教学实施,活动3:明确设计问题(技术要求+设计限制),设计数据(已实施),第4页,4人一组,技术要求7项/设计限制5项,课堂活动,中;已实施
D13,D4量化数据,信息搜集表(表1),设计数据,第3页,1张表,搜集方式×信息维度,设计模板,高
D14,D4量化数据,便携式取暖器技术要求表(表2),设计数据,第4页,1张表,材料/外观/热源/安全/寿命/续航,设计模板,高
D15,D4量化数据,便携式取暖器设计限制表(表3),设计数据,第4页,1张表,时间/成本/设备/环境/能力,设计模板,高
D16,D6主张证据,教学反思(2项),设计数据,第4页,2项,基于真实情景/大概念可行性,教师反思,高
D17,D6主张证据,课堂参与度与表现,部分呈现,第4页,1次课堂,"""参与度很高,表现积极""",教师观察,中;无量化
D18,D7缺口,学生原始活动记录,应存在,课堂过程,全体学生,问题记录/信息表/技术要求表,未附,不可复核
D19,D7缺口,学生设计方案,应存在,后续课时,各组,设计方案,未到方案阶段,不可复核
D20,D7缺口,对照组或对比课,应存在,研究过程,无,无,未设计,不可复核
D21,D7缺口,教学成效量化数据,应存在,教学过程,全体学生,参与度/完成率/素养达成,未采集,不可复核
