claim_id,claim,raw_data,analysis,evidence_location,counterexample_limit,support_level,verification_status
C01,PyCraft平台已开发完成并可运行,网站代码8个JS模块、index.html、css,代码审查,教学网站代码,—,强(产品存在)
C02,平台覆盖江苏省高中信息技术Python全部考点,6模块17课时课程设计,课程数据对照,lessons-data.js、申报书第四节,需与考纲逐条核验,中(设计覆盖);待核验
C03,浏览器零安装运行Python,Pyodide WebAssembly集成,技术方案,pyodide-runner.js,—,强(技术实现)
C04,三维实时可视化参数滑块→3D模型,Three.js集成,技术方案,3d-visualizer.js,—,强(技术实现)
C05,30+错误模式中文诊断,规则引擎+正则匹配,技术方案,error-diagnosis.js,需验证诊断准确率,中(功能存在);待验证准确率
C06,题库系统支持4题型自动批改,前端题库引擎,技术方案,quiz-system.js,编程题自动批改逻辑需验证,中(功能存在);待验证批改准确性
C07,游戏化评价(15+徽章/XP)能维持学习动力,评价系统设计,设计陈述,evaluation.js,无实际使用数据,弱(设计存在);待验证效果
C08,平台能消除环境配置障碍,Pyodide零安装特性,技术方案,申报书痛点1,—,强(技术特性)
C09,平台能提升学习效能,预期成效,预期陈述,申报书第五节,无前后测数据,弱(预期);待验证
C10,平台能减轻教师负担,预期成效,预期陈述,申报书第五节,无工时数据,弱(预期);待验证
C11,平台可零成本推广,纯前端应用特性,技术方案,申报书第五节,—,强(技术特性)
C12,PyCraft与FreeCAD课题形成双轨格局,关联课题对比,设计陈述,申报书第六节、对比表,—,中(设计存在)
