reference_label,entity_id,pdf_page,thesis_page,section,citation_context,citation_mode,citation_purpose,mapping_confidence
1,E001,8,1,第1章 绪论,思想是通过亲自动手操作、 学习和 分享交流来发展人的创新思维和创新能力，能通过以 3D 打印技术、Arduino 电 子技术等为主的创客技术把创意想法变成现实 [1] 。  而在创客教育的内容中，3D 打印技术作为一种直观而又易于操作的技术， 已经广为人知了。 随着3D 打印机的普及，3D 打印技术正逐渐走进中小学的课堂 中,paraphrase,研究背景,高
2,E002,8,1,第1章 绪论,中，越来越受到教育界的关注。奥巴马总统曾在其 2013 年的国情咨文中将广泛 采用 3D 打印技术的创客运动形容为制造业的添加剂，是重塑美国全球竞争力的 良方 [2] 。 而在国内，2015 年李克强总理来到了深圳柴火创客空间进行视察， 并在 同年的政府工作报告上提到了要大力发展创客文化，使“创客”为国人所熟知。  （二）,paraphrase,研究背景,高
3,E003,11,4,第2章 核心概念界定及相关理论研究,（一）3D 打印  3D 打印技术即快速成形技术，又称增材制造技术，是以数字模型文件为基 础，运用粉末状金属或塑料等可粘合材料，通过逐层打印的方式 来构造物体[3]。 准确说，快速成形技术的名称更早使用，而增材制造技术 的名称则更专业，但 3D 打印技术的名称则更通俗且更广为人知[4]。  3D 打印的思想源于 19 世纪,paraphrase,研究背景,高
4,E004,11,4,第2章 核心概念界定及相关理论研究,合材料，通过逐层打印的方式 来构造物体[3]。 准确说，快速成形技术的名称更早使用，而增材制造技术 的名称则更专业，但 3D 打印技术的名称则更通俗且更广为人知[4]。  3D 打印的思想源于 19 世纪末， 并在20 世纪 80 年代就得到了实现， 但由于 那时 3D 打印机的成本高昂，打印时间过长，技术还不太成熟，因此并,paraphrase,研究背景,高
5,E005,12,5,第2章 核心概念界定及相关理论研究,”，出自安德森的著作 《创客： 新工业革命》， 其还提到创客是一群以创新为基本追求， 通过借助各种数字化、 智能化和开源化 工具努力把各种创意转变为现实的人群 [5] 。  创客运动是“互联网+DIY” 的产物， 就是人人都可以像科学家、 发明家一样， 利用身边的一切资源（如软件、硬件、材料等） ，将自己的创意变成现实，并通,paraphrase,研究背景,高
6,E006,12,5,第2章 核心概念界定及相关理论研究,Y” 的产物， 就是人人都可以像科学家、 发明家一样， 利用身边的一切资源（如软件、硬件、材料等） ，将自己的创意变成现实，并通 过互联网平台快速分享给全世界 [6] 。在互联网以及科学技术的快速发展下，以创 客运动为首的创客文化、 创客精神被越来越多人了解和接纳， 创客文化也逐渐走 进校园、走进教育领域，因此“创客教育”也,paraphrase,研究背景,高
7,E007,12,5,第2章 核心概念界定及相关理论研究,航模等。  在我国，随着“大众创业，万众创新”口号的提出，以祝智庭等人为代表的 学者认为创客教育继承了创新教育的理念，其以培养学生的创新思维和创新能力 为目标 [7] 。而创客教育强调的创新精神和综合运用知识技能解决实际问题的能力 也是将来学生在求职和就业中必不可少的能力 [8] 。  （三） 校本课程  校本课程 （Sch,paraphrase,研究背景,高
8,E008,12,5,第2章 核心概念界定及相关理论研究,念，其以培养学生的创新思维和创新能力 为目标 [7] 。而创客教育强调的创新精神和综合运用知识技能解决实际问题的能力 也是将来学生在求职和就业中必不可少的能力 [8] 。  （三） 校本课程  校本课程 （School-based curriculum）也称学校自编课程， 具体说就是某一类 学校或某一级学校的个别教师、部分教,paraphrase,研究背景,高
9,E009,12,5,第2章 核心概念界定及相关理论研究,学校的个别教师、部分教师或全体教师依据国家制定的教育目的， 在分析本校外部环境和本校内部环境的基础上， 针对本校各年级特定的学生群体， 编制、实施和评价的课程 [9] 。  2001 年教育部颁布的《基础教育课程改革纲要（试行） 》标志着我国中央集 权的课程管理体制正式走向国家、 地方和学校三级分权， 因此越来越多的学校根,paraphrase,依据,高
10,E010,13,6,第2章 核心概念界定及相关理论研究,学校校本课程的设计决定着学校层面 和教师层面的行动方向， 一般包括需求分析、 指导思想与总体目标、 内容体系及 框架、实施计划与步骤、管理与评价建议五大方面 [10] 。  （四） 校本课程开发  校本课程开发有别于上述提到的校本课程， 校本课程通常指代静态的课程内 容， 而校本课程开发指代的是一个动态的过程，是指从确定需求,paraphrase,概念界定,高
11,E011,13,6,第2章 核心概念界定及相关理论研究,的“校本课程开发”国际研讨会上就有学者 提出， 后来课程论学者肖特从课程开发的场所、 课程开发专家和课程实施情境三 个维度建立了一个三维模型来确定课程开发策略 [11] 。如下图 2-2 所示，共有 24 种类型。,paraphrase,方法来源,高
12,E012,14,7,第2章 核心概念界定及相关理论研究,2 肖特课程开发策略  布雷迪的校本课程开发分类方法则从 “活动类型” 和 “参与成员” 这两个维 度进行分类，这样一共有 12 种类型，如下图 2-3 所示 [12] ，此分类方法则显得较 为直观和简练。    图 2-3 布雷迪校本课程开发分类方法  而崔允漷教授则从开发范围、 开发主体和活动方式三个维度进行分类， 其中,paraphrase,方法来源,高
13,E013,14,7,第2章 核心概念界定及相关理论研究,崔允漷教授则从开发范围、 开发主体和活动方式三个维度进行分类， 其中 前两者分为 4 种方式，活动方式分为 6 种方式，这样该分类方法就一共有 96 种 类型 [13] ，如下图 2-4 所示。    图 2-4 崔允漷校本课程开发分类方法,paraphrase,方法来源,高
14,E014,15,8,第2章 核心概念界定及相关理论研究,果导向教育（Outcome Based Education）也可称作以学生的学习成果为基 础的教育， 它是以人人都能学会为前提， 以成果为导向而设计的教育模式 [14] 。国 内学者对此教育理论及模式的研究主要集中在高等工程教育这方面， 把该理论应 用于工程教育相关专业的设置和培养研究上，李志义教授曾从“确定学习成果、 构建课,paraphrase,理论基础,高
15,E015,15,8,第2章 核心概念界定及相关理论研究,业的设置和培养研究上，李志义教授曾从“确定学习成果、 构建课程体系、 确定教学策略、 自我参照评价和逐级达到顶峰” 五个步骤论述了 成果导向教育模式的实施要点 [15] 。 笔者认为该理论及该教育模式也同样适用于高 中 3D 打印校本课程的开发和实施过程，3D 打印强调的是最后作品的“产出” ， 从学生设计到打印加工，最后成形,paraphrase,理论基础,高
16,E016,16,9,第2章 核心概念界定及相关理论研究,的是学生从开始学习就要有明确的成果目标，要清楚所期 待的学习内涵， 教师则是要更清楚如何协助学生学习， 教学的核心要聚焦在学生 学到了什么，而不是教师教了什么 [16] 。在 3D 打印技术的教学中，教师不能把所 有现成的知识直接教授给学生，而应根据学生的兴趣以及联系学生的生活实际， 适当设置带有引导性的问题让学生通过联系已有,paraphrase,依据,高
17,E017,16,9,第2章 核心概念界定及相关理论研究,是以学科的概念和原理为中心， 以制作作品为目的， 在学习过程中借助多种资源开展探究活动， 并在一定时间内 解决一系列相互关联着的问题的一种新型的探究性学习模式 [17] 。  3D 打印校本课程的学习过程从整体来看也是一个基于项目的学习过程，学 生在平时生活中需要制作一个 3D 创意用品或礼物时，除了需要学习三维设计软 件的使,paraphrase,理论基础,高
18,E018,16,9,第2章 核心概念界定及相关理论研究,、空间、音乐、身体-运动、人 际关系、 自我认识、自然探索和生存，而这九种智能代表了不同的潜能， 如果给 予适当的教育和训练，这些潜能都能发展到一个很高的水平 [18] 。  在 3D 打印技术的教学中，多元智能理论同样具有重要的指导作用，教师要 用发展和赏识的眼光看待所有学生， 要善于挖掘学生的才能， 学生的差异性不应 成为,paraphrase,理论基础,高
19,E019,18,11,第2章 核心概念界定及相关理论研究,应用，该项目不仅取得了实 质性教学应用成果，而且推动了 3D 打印技术在教育领域中的应用，为更多学校 引进 3D 打印技术，变革教与学的模式起到示范与引领作用 [19] 。  而在东亚的韩国，由其未来创造科学部联合多家部门共同发布的《韩国 3D 打印产业振兴计划（2017-2019 年）》旨在使韩国在 2019 年成为 3D,paraphrase,理论基础,高
20,E020,18,11,第2章 核心概念界定及相关理论研究,到了培养 3D 打印人才并加强实用性教育的策略，具体有 设置 3D 打印国家技术资格、 新增3D 打印相关的国家技术资格项目、 培养3D 行 业专门人才等措施 [20] 。  在把 3D 打印技术引入到具体课堂教学的研究中，以 Vasilis Kostakis 为首的三 位爱沙尼亚学者在其《开源 3D 打印技术作为一种学习方式,paraphrase,方法来源,高
21,E021,18,11,第2章 核心概念界定及相关理论研究,学生的 任务是在开源 3D 打印机和三维设计软件的帮助下，协作设计和制作创意文，他 们认为 3D 打印可以用作建构主义学习的手段，能激发学生的创造力和学习兴趣 [21] 。而在 3D 打印技术对于学生 技能提升和 自信心 提升的研究方面， Patricia  McGahern 在其《使用 3D 打印增强学习：替代传统的学生项目,paraphrase,研究背景,高
22,E022,18,11,第2章 核心概念界定及相关理论研究,术为教师和学生提供了体验课堂活动的新方法， 三维设计软件的使用既可以为学 生提供宝贵的技能， 也可以让学生对所学的事物有更深入的了解， 从而增强学生 的自信心 [22] 。  综上所述，国外开始大范围把 3D 打印技术应用于教育领域大致从 2012 年 开始，也就是伴随着创客运动的兴起和发展，低成本、易入门的 3D 打印机陆续,paraphrase,方法来源,高
23,E023,20,13,第2章 核心概念界定及相关理论研究,了《虚实创造课程》，旨在让学生了解和接触 3D 打印技术，促进学 生虚拟世界、 实体世界和内心世界的联通， 激发学生的空间思维、 设计思维和创 造性思维的发展 [23] 。同样，3D 打印技术作为一种综合性的技术在对学生的跨学 科思维方面也是有其研究价值的，卜娟娟等在《3D 打印技术在中小学教育中的 应用研究》一文中提到 3D,paraphrase,研究背景,高
24,E024,20,13,第2章 核心概念界定及相关理论研究,供更多的动手机会，提升学习 者参与学习实践的积极性，还可以突破单一学科知识孤立的弊端， 有利于学科间 知识的整合，发展学生的跨学科思维，实现学科知识的综合运用 [24] 。  由于目前国内对于 3D 打印在教育领域的研究还处于初探阶段，对于其发展 前景，笔者比较赞同邱望洁等在《3D 打印技术在教育行业的应用发展前景研究》 一文,paraphrase,研究背景,高
25,E025,20,13,第2章 核心概念界定及相关理论研究,行业标准及规范；二是从教育理论出发面向不同教育阶段系统化建立 3D 打印的教学应用体系架构；三是基于互联网建立 3D 打印的服务云平台实现资源 共享和资源整合 [25] 。  从整体看，随着 3D 打印机的普及，越来越多的中小学都开始把 3D 打印技 术引入到学校教学中，大部分学校以社团课、第二课堂、兴趣班等形式开展 3D 打,paraphrase,理论基础,高
26,E026,21,14,第3章 3D打印校本课程的开发,展开讨论：一是 学校应该达到哪些教育目标； 二是提供哪些教育经验才能实现这些目标； 三是怎 样才能有效组织这些教育经验； 四是怎样才能确定这些目标正在得到实现 [26] 。笔 者根据 “泰勒原理” 的相关内容， 列出本研究的校本课程开发与实践流程图， 如 下图 3-1 所示。    图 3-1 校本课程开发与实践流程图,paraphrase,依据,高
27,E027,22,15,第3章 3D打印校本课程的开发,2025 年迈入制造强国行列， 二是到 2035 年中国制造业整体达到 世界制造强国阵营中等水平， 三是到新中国成立一百年时， 综合实力进入世界制 造强国前列 [27] 。因此，在相关政策的出台后，国家、社会对于智能化技术人才、 创客人才的需求将再次扩大，而 3D 打印技术作为创客教育中一项易于普及、易 于实施的技术， 在培养,paraphrase,研究背景,高
28,E009,28,21,第3章 3D打印校本课程的开发,氛围供学生进行讨论和学习。  教学方法种类繁多， 一堂课也不止使用一种教学方法， 王斌华在其著作《校 本课程论》中列举了国内外常用的十六种教学方法及相应的用途 [28] ，如下图 3-2 所示。    图 3-2 十六种教学方法及其用途  根据 3D 打印校本课程的特点和目标，在进行相关知识的教学时，笔者认为 采用视听、操练和,paraphrase,方法来源,高
29,E029,38,31,第4章 3D打印校本课程的评价与完善,有关，一般均将显著水平设定为 0.05，即α=0.05，而当显著水平为 0.05 时，区间估计采用的置信度为 1-α=0.95，此时对应的分位数 k=1.96 [29] 。  在本次调查中，本校高一年级共有学生 1014 人，其中休学 3 人，在校学习 1011 人，研究对象为有限总体，即 N=1011，显著水平α设为 0.0,paraphrase,数据对照,高
