entity_id,reference_labels,canonical_reference,dedup_basis,external_verification
E001,1,范文翔，张一春.STEAM 教育:发展、内涵与可能路径[J].现代教育技术，2018，2803: 99-105.,独立,未核验
E002,2,"中华人民共和国教育部.基础教育课程改革纲要[M].北京:人民教育出版社,2017．",独立,未核验
E003,3,"中华人民共和国教育部.普通高中数学课程标准(2017 年版)[M].北京:人民教育出版 社,2017．",独立,未核验
E004,4,"赵慧臣,陆晓婷.发展、内涵与可能路径——访美国 STEAM 教育知名学者格雷特·亚克门 教授[J].开放教育研究,2016,2205:4-10.",独立,未核验
E005,5,"魏晓东,于冰,于海波.美国 STEAM 教育的框架、特点及启示[J].华东师范大学学报(教育 科学版),2017,3504:40-46+134-135.",独立,未核验
E006,6,"彭敏,朱德全.STEAM有效教学的关键特征与实施路径——基于美国STEAM教师的视角[J]. 远程教育杂志,2018,3602:48-55.",独立,未核验
E007,7,"李王伟,徐晓东.统整艺术与STEM实践的创新力培养——来自美国八大STEAM教育案例的 启示[J].外国中小学教育,2018,12:9-17.",独立,未核验
E008,8,"赵书琪,于洪波.美国 STEM教育研究 30 年:历程、特点与启示[J].现代教育技术,2019, 29(01):5-10.",独立,未核验
E009,9,"杜文彬.国外 STEM 教育研究的热点主题与特点探析[J].电化教育研究,2018,39(11): 120-128.",独立,未核验
E010,10,"李王伟,徐晓东.作为一种学习方式存在的 STEAM 教育:路径何为[J].电化教育研 究,2018,3909:28-36.",独立,未核验
E011,11,"彭敏,郭梦娇.STEAM 教育的基本内涵与发展路径研究[J].教育理论与实践,2018,3825: 14-18.",独立,未核验
E012,12,"严文法,芦瑾,金普军.基于6E设计型学习模式的STEAM活动设计——以青铜器文物除锈 为例[J].化学教学,2018,11:61-65.",独立,未核验
E013,13,"郭芬芬.创造力培养视野下的 STEAM 课程评价研究[D].中央民族大学,2018.",独立,未核验
E014,14,"高凯涛,高杰,贾嫚.STEM 教育理念下技术与课程的融合探究[J].现代教育技术, 2018,28(09):106-112.",独立,未核验
E015,15,"赵呈领,赵文君,蒋志辉.面向 STEM 教育的 5E 探究式教学模式设计[J].现代教育技 术,2018,28(03):106-112.",独立,未核验
E016,16,"祝智庭,雷云鹤.STEM 教育的国策分析与实践模式[J].电化教育研究,2018, 39(01): 75-85.",独立,未核验
E017,17,"张屹,赵亚萍,何玲,白清玉.基于 STEM 的跨学科教学设计与实践[J].现代远程教育研 究,2017(06):75-84.",独立,未核验
E018,18,"许亮亮,邹正,马嘉源.基于 STEAM教育的高中化学创新实验研究——以“化学红绿灯振 荡反应最优条件探究”为例[J].化学教育(中英文),2017,3821:55-59.",独立,未核验
E019,19,"周玉琴,郑欣进,陈实.STEAM 教育理念在高中地理教学中的应用初探——以“大气的受 热过程”为例[J].地理教学,2018,11:13-16+20.",独立,未核验
E020,20,"熊小菊,廖春贵,熊开宏,胡宝清.STEAM 教育理念在中学地理教学中的运用[J].教学与 管理,2019,15:115-117. 基于 STEAM 教育理念的高中函数教学设计研究 72",独立,未核验
