reference_label,entity_id,reference_text,authors,title,document_type,source_container,year,citation_count,thesis_pages,mapping_status,metadata_verification
1,E001,"郑贤. 基于STEAM的小学《3D打印》课程设计与教学实践研究[J].中国电化教育, 2016(8):82-86.",郑贤,基于STEAM的小学《3D打印》课程设计与教学实践研究,J,中国电化教育,2016,1,1,已匹配,仅据论文参考文献表，未回原始来源核验
2,E002,"孙江山,吴永和,任友群.3D打印教育创新:创客空间、创新实验室和STEAM[J].现代远程 教育研究,2015(4):96-103.","孙江山,吴永和,任友群",3D打印教育创新:创客空间、创新实验室和STEAM,J,现代远程 教育研究,2015,1,1,已匹配,仅据论文参考文献表，未回原始来源核验
3,E003,"李青,王青. 3D 打印:一种新兴的学习技术*[J].远程教育杂志,2013(4):29-35.","李青,王青",3D 打印:一种新兴的学习技术*,J,远程教育杂志,2013,1,1,已匹配,仅据论文参考文献表，未回原始来源核验
4,E004,"魏本亚.汪懋祖“学术化苏高”的表征、意蕴及启示[J].徐州师范大学学报(教育科学 版),2011(4):44-48.",魏本亚,汪懋祖“学术化苏高”的表征、意蕴及启示,J,徐州师范大学学报(教育科学 版),2011,2,"1,2",已匹配,仅据论文参考文献表，未回原始来源核验
5,E005,"Macdougall PJ , Henze C E ,VolkovA. Volume-Rendering on a 3D HyperwallAMolecular Visualization Platform for Research, Education and Outreach[J]. Journal of Molecular Graphics andModelling,2016:S109332631630167X.","Macdougall PJ , Henze C E ,VolkovA","Volume-Rendering on a 3D HyperwallAMolecular Visualization Platform for Research, Education and Outreach",J,Journal of Molecular Graphics andModelling,2016,1,1,已匹配,仅据论文参考文献表，未回原始来源核验
6,E006,"刘超. 3D打印领导个性制造DIY--2013世界3D打印技术产业大会报道[J]. 新材料产 业, 2013(7):69-71.",刘超,3D打印领导个性制造DIY--2013世界3D打印技术产业大会报道,J,新材料产 业,2013,1,1,已匹配,仅据论文参考文献表，未回原始来源核验
7,E007,"龚豪. 3D设计与打印技术在小学数学课堂中的应用[J]. 现代教学, 2016(17):25-26.",龚豪,3D设计与打印技术在小学数学课堂中的应用,J,现代教学,2016,1,2,已匹配,仅据论文参考文献表，未回原始来源核验
8,E008,"杨高云. 小学“3D打印教育”课堂教学设计研究[D].上海师范大学, 2014.",杨高云,小学“3D打印教育”课堂教学设计研究,D,上海师范大学,2014,1,2,已匹配,仅据论文参考文献表，未回原始来源核验
9,E009,"史玉升,张李超,白宇等.3D 打印技术的发展及其软件实现[J].中国科学:信息科 学,2015,45(2):197-203.","史玉升,张李超,白宇等",3D 打印技术的发展及其软件实现,J,中国科学:信息科 学,2015,0,,文后有条目，正文未检出,仅据论文参考文献表，未回原始来源核验
10,E010,"姚会娟,左浩.3D打印在高校教学中的作用[J].智库时代,2017(15).","姚会娟,左浩",3D打印在高校教学中的作用,J,智库时代,2017,1,2,已匹配,仅据论文参考文献表，未回原始来源核验
