asset_id,data_domain,asset_name,status,source_location,sample_scope,tool_fields,processing,reproducibility
D01,D1元数据,案例包元数据,实际呈现,总览HTML,1套2案例,2案例+2模型+9教案,文本提取,高
D02,D3研究逻辑,设计理念(螺旋式上升+大概念贯通),设计数据,总览HTML,1套,螺旋式上升(案例1)/大概念贯通(案例2);FreeCAD自然融入;AI数据分析,设计陈述,高
D03,D4教学实施,案例1:机动车三角警告牌(5课时),设计数据,案例1目录,5课时,情境导入→国标研读→尺寸检测→视辨性抗风→数据优化,教案设计,高
D04,D4教学实施,案例1教案1:情境导入与标准认知,设计数据,案例1/教案/第1课时,1课时,标准透视镜(原创工具)+AI标准检索,教案,高
D05,D4教学实施,案例1教案2:国标研读与参数提取,设计数据,案例1/教案/第2课时,1课时,标准解剖刀(原创工具)+AI参数校验,教案,高
D06,D4教学实施,案例1教案3:尺寸检测试验,设计数据,案例1/教案/第3课时,1课时,精度量尺台(原创工具)+FreeCAD模型对照+AI异常检测,教案,高
D07,D4教学实施,案例1教案4:视辨性与抗风稳定性测试,设计数据,案例1/教案/第4课时,1课时,风洞试验+FreeCAD FEM+AI数据分析,教案,高
D08,D4教学实施,案例1教案5:数据研判与方案优化,设计数据,案例1/教案/第5课时,1课时,数据研判+跨国标对比+方案优化,教案,高
D09,D4教学实施,案例2:生态鱼缸(4单元16-20课时),设计数据,案例2目录,4单元,结构→流程→系统→控制四大概念贯通,教案设计,高
D10,D4教学实施,案例2结构单元:缸体与支架结构设计,设计数据,案例2/教案/结构单元,4课时,结构设计+FreeCAD缸体支架,教案,高
D11,D4教学实施,案例2流程单元:造景流程设计,设计数据,案例2/教案/流程单元,4课时,流程设计+优化,教案,高
D12,D4教学实施,案例2系统单元:生态循环系统设计,设计数据,案例2/教案/系统单元,4课时,系统设计+子系统关联,教案,高
D13,D4教学实施,案例2控制单元:智能温控系统设计,设计数据,案例2/教案/控制单元,4-8课时,闭环控制+智能温控+自动喂食+远程监控,教案,高
D14,D5技术方案,FreeCAD模型:WarningTriangle(三角警告牌),实际呈现,案例1/FreeCAD模型,1个,FCStd+STEP+PNG,模型文件,高
D15,D5技术方案,FreeCAD模型:EcoFishTank(生态鱼缸),实际呈现,案例2/FreeCAD模型,1个,FCStd+STEP+PNG,模型文件,高
D16,D6主张证据,螺旋式上升策略(认识→理解→应用→超越),设计数据,案例1,4阶段,标准认知递进,设计陈述,高
D17,D6主张证据,大概念贯通(结构/流程/系统/控制),设计数据,案例2,4概念,四大概念贯通项目,设计陈述,高
D18,D6主张证据,原创教学工具(3个:标准透视镜/解剖刀/量尺台),设计数据,案例1教案1-3,3个,标准分析工具,设计陈述,高
D19,D7缺口,案例实施数据,应存在,教学过程,未实施,课堂观察/学生产出,未采集,不可复核
D20,D7缺口,评价量规原件,应存在,各教案,未附,部分教案提及评价但未附量规,未附,不可复核
