variable_id,variable_name,role,evidence_state,operational_definition,unit_or_categories,data_source,collection_timing,quality_risk
V01,优化方法类型,过程变量,实际呈现,"调整结构体系、改变截面、加强连接、替换材料",多值分类,学生方案,方案制定与修订,"原始方案未附;编码规则需另建"
V02,施加载荷,任务条件,设计预期,桥梁跨中竖直静载2 kg,kg,加载记录,测试阶段,"加载速率、保持时间未定义"
V03,跨中位移,结果指标,设计预期,2 kg静载时跨中位移小于2 mm,mm,位移计,测试阶段,"量程、精度、零点、重复次数未报告"
V04,材料用量,控制/过程变量,设计预期,限定桐木条、502胶和塑料扎带的实际消耗,"根/毫米/克/件",材料发放回收表,制作前后,"论文仅称有限材料;数量缺失"
V05,结构失效模式,诊断指标,研究应有,加载中的变形或破坏位置与类型,"弯曲;屈曲;节点失效;拉索失效;其他",视频和观察表,加载过程,"原文无编码规则和记录"
V06,方案迭代次数,过程指标,研究应有,初版方案之后形成的可追踪修订次数,次,方案版本记录,交流后与测试后,"论文未附版本"
V07,课堂评价得分,结果变量,实际呈现（工具）,表2的15项过程与结果指标,"等级或分值待定义",自评与互评表,展示测试后,"评分尺度、权重、评分者一致性缺失"
V08,课后评价表现,结果变量,实际呈现（工具）,表3的文字描述与星级表现,"文字;星级",课后评价表,课后,"行为锚点不完整;无填答"
V09,学生活动占比,过程指标,作者声称,学生活动时间占整节课约70%,%,课堂录像或计时表,全课,"无计时数据;不可复算"
V10,优化达标,派生结果,分析者计算规则,"若2 kg静载下跨中位移<2 mm则达标",0/1,载荷与位移原始表,测试后,"必须保留原始值;当前无数据"
