claim_id,claim,raw_data,analysis,evidence_location,counterexample_limit,support_level,verification_status
C01,AI赋能项目化学习案例已设计并实施,教学设计+实施描述,文档审查,第1-5页,—,强(设计存在)
C02,双路径设计(AI赋能+项目化)能重构教学模式,设计陈述,设计审查,第2页,无设计效度验证,中(设计存在)
C03,分层分组(56人8组4类型)能解决个体差异,分层设计,设计陈述,第2-3页,分组依据简略,中(设计存在)
C04,分层任务(3层)能兼顾不同学情,任务设计,设计陈述,第3-4页,无任务效度验证,中(设计存在)
C05,AI模拟场景决策能帮助学生权衡,3个场景决策表,课堂实施,第3页,仅3个场景样例,中(单次样例)
C06,学生自主性与创造力得到增强,教师观察,教师观察,第6页,无量化数据,弱(教师观察)
C07,课堂减负提质落地,教师归纳,教师归纳,第6页,无量化效率数据,弱(教师归纳)
C08,学科核心素养全面发展,教师归纳,教师归纳,第6页,无前后测,弱(教师归纳)
C09,课堂形态实现根本性变革,教师归纳,教师归纳,第6页,无对照,弱(教师归纳)
C10,学生设计出系统架构和流程图,图1图2,图片展示,第5页,选择性样例,中(选择性样例)
C11,学生将工程技术思维运用于人道化服务,适老模式样例,教师叙述,第4页,选择性样例,中(选择性样例)
C12,案例可扩展到其他领域,推广设想,设计陈述,第7-8页,无复制验证,弱(未验证)
