gap_id,gap_description,impact,can_paper_supply,suggested_action
G01,教学试验尚未实施(计划2026.01-2026.06),"所有成效结论为预期,非实证",是(待实施),按计划实施并采集数据
G02,无前后测数据,无法验证学习效能提升,否,实施Python能力前后测
G03,"无对照组(FreeCAD vs PyCraft为同批延伸,非独立对照)",不能排除成熟效应,需澄清,考虑独立对照或交替处理
G04,无评分者一致性数据,评价可靠性未知,否,题库自动批改准确率验证+人工双评
G05,错误诊断准确率未验证,30+模式覆盖率未知,否,"收集学生实际错误样本,验证诊断准确率"
G06,编程题自动批改准确性未验证,可能误判代码逻辑,否,"收集编程题样本,人工复核批改结果"
G07,游戏化评价效果未验证,徽章/XP是否真提升动力未知,否,"实施后采集学习行为数据,分析XP与成绩关系"
G08,学生样本量与基本特征未报告,代表性未知,需补全,报告人数、班级、编程经验分布
G09,课程与考纲对照未逐条核验,覆盖全部考点为声称,否,与江苏省考纲逐条比对
G10,平台性能与兼容性未测试,大班并发使用是否稳定未知,否,模拟60人并发测试
G11,无延迟后测或跟踪,效果持续性未知,否,增设延迟回测
G12,伦理与数据治理未说明,学生数据使用条件不清,需补材料,知情同意、数据保存、隐私保护
