reference_label,entity_id,pdf_page,thesis_page,section,citation_context,citation_mode,citation_purpose,mapping_confidence
1,E001,8,1,,”(艺 术)，成为了 STEAM 教育，它是由美国弗吉尼亚科技大学的学者格雷特·亚克门 (Yakman，G.)第一次提出[1]。STEAM，是科学（Science）、技术（Technology）、 工程（Engineering）、数学（Mathe,转述/概述,,高
2,E002,8,1,,置九年一贯的课程门类和课时比例，并设置综合课程，以适应不同地区和学生发 展的需要，体现课程结构的均衡性、综合性和选择性[2]。”许多专家和学者都已 经意识到了我国数学教育目前面临的挑战和问题，中国学生题海战术很强，做封 闭性题目的能力很高，但是,转述/概述,,高
3,E003,8,1,,通高中数学课程标准》中指出 要围绕发展学生的数学学科数学学科核心素养开展数学活动，特别要重视数学建 模活动和数学探究活动[3]。STEAM 教育和数学活动的中心点达成了一致，都是 紧紧围绕学生的数学学科核心素养开展的学习方式。 近年来我国也越来越,转述/概述,,高
4,E004,9,2,,TEAM 教育的研究在快速增加，但仍以介绍、 基于 STEAM 教育理念的高中函数教学设计研究 2 解读或述评的文章居多[4-9]，并且，对于 STEAM 教育的理论研究较多，主要包 括 STEAM 的内涵、特征以及整合模式、教学案例的开发研究等[1,转述/概述,,高
5,E005,9,2,,TEAM 教育的研究在快速增加，但仍以介绍、 基于 STEAM 教育理念的高中函数教学设计研究 2 解读或述评的文章居多[4-9]，并且，对于 STEAM 教育的理论研究较多，主要包 括 STEAM 的内涵、特征以及整合模式、教学案例的开发研究等[1,转述/概述,,高
6,E006,9,2,,TEAM 教育的研究在快速增加，但仍以介绍、 基于 STEAM 教育理念的高中函数教学设计研究 2 解读或述评的文章居多[4-9]，并且，对于 STEAM 教育的理论研究较多，主要包 括 STEAM 的内涵、特征以及整合模式、教学案例的开发研究等[1,转述/概述,,高
7,E007,9,2,,TEAM 教育的研究在快速增加，但仍以介绍、 基于 STEAM 教育理念的高中函数教学设计研究 2 解读或述评的文章居多[4-9]，并且，对于 STEAM 教育的理论研究较多，主要包 括 STEAM 的内涵、特征以及整合模式、教学案例的开发研究等[1,转述/概述,,高
8,E008,9,2,,TEAM 教育的研究在快速增加，但仍以介绍、 基于 STEAM 教育理念的高中函数教学设计研究 2 解读或述评的文章居多[4-9]，并且，对于 STEAM 教育的理论研究较多，主要包 括 STEAM 的内涵、特征以及整合模式、教学案例的开发研究等[1,转述/概述,,高
9,E009,9,2,,TEAM 教育的研究在快速增加，但仍以介绍、 基于 STEAM 教育理念的高中函数教学设计研究 2 解读或述评的文章居多[4-9]，并且，对于 STEAM 教育的理论研究较多，主要包 括 STEAM 的内涵、特征以及整合模式、教学案例的开发研究等[1,转述/概述,,高
10,E010,9,2,,9]，并且，对于 STEAM 教育的理论研究较多，主要包 括 STEAM 的内涵、特征以及整合模式、教学案例的开发研究等[10-17]。就具体学 科在 STEAM 教育理念下进行教学设计的文章也有增加[18-25]，但是在数学学科， 尤其是高中数学课堂上,转述/概述,,高
11,E011,9,2,,9]，并且，对于 STEAM 教育的理论研究较多，主要包 括 STEAM 的内涵、特征以及整合模式、教学案例的开发研究等[10-17]。就具体学 科在 STEAM 教育理念下进行教学设计的文章也有增加[18-25]，但是在数学学科， 尤其是高中数学课堂上,转述/概述,,高
12,E012,9,2,,9]，并且，对于 STEAM 教育的理论研究较多，主要包 括 STEAM 的内涵、特征以及整合模式、教学案例的开发研究等[10-17]。就具体学 科在 STEAM 教育理念下进行教学设计的文章也有增加[18-25]，但是在数学学科， 尤其是高中数学课堂上,转述/概述,,高
13,E013,9,2,,9]，并且，对于 STEAM 教育的理论研究较多，主要包 括 STEAM 的内涵、特征以及整合模式、教学案例的开发研究等[10-17]。就具体学 科在 STEAM 教育理念下进行教学设计的文章也有增加[18-25]，但是在数学学科， 尤其是高中数学课堂上,转述/概述,,高
14,E014,9,2,,9]，并且，对于 STEAM 教育的理论研究较多，主要包 括 STEAM 的内涵、特征以及整合模式、教学案例的开发研究等[10-17]。就具体学 科在 STEAM 教育理念下进行教学设计的文章也有增加[18-25]，但是在数学学科， 尤其是高中数学课堂上,转述/概述,,高
