变量或概念,角色,原文操作性定义,建议可观察指标,单位或量尺,数据来源,定义风险
大概念理解,目标变量,未定义,"概念关系图质量；解释结构流程系统控制之间关系；新情境迁移",行为锚点评分,前后任务与访谈,高
通用技术核心素养,因变量,未定义,"技术意识；工程思维；创新设计；图样表达；物化能力",分维度量规,作品过程与解释,高
结构稳定性与强度,技术性能变量,"影响因素有说明但无项目阈值","最大安全载荷；倾覆角；变形；失效模式",N/mm/度,支架测试,中
流程设计质量,过程变量,"环节与时序合理性为原则","遗漏环节；时序冲突；返工次数；总工时",计数/分钟/评分,流程图与实施日志,中
系统设计质量,过程与结果变量,"整体性与子系统关系为原则","边界清晰度；要素关系；接口冲突；权衡理由",行为锚点评分,系统模型与答辩,中
浇水控制性能,结果变量,未定义,"目标水量误差；土壤湿度误差；响应时间；超调；故障率",mL/%RH/s/次,传感器与控制日志,高
环境调节性能,结果变量,未定义,"温湿度；照度；通风响应；能耗",℃/%RH/lx/Wh,环境传感器,高
项目完成度,结果变量,未定义,"阶段门通过率；功能完成率；安全合规；维护性",比例/评分,验收记录,高
迁移能力,因变量,未定义,"对温室鱼缸节水等新情境独立建模和设计",行为锚点评分,延迟迁移任务,高
课时投入,控制或成本变量,计划35课时,实际课时与课外工时,课时/分钟,教师日志与平台记录,中
