gap_id,gap_description,impact,can_paper_supply,suggested_action
G01,学生作品(360份)待提交,无法分析作品质量,是(待提交),按方案收集60人×6件作品
G02,课堂观察记录待填写,无法分析教学过程,是(待填写),按模板填写各课观察量表
G03,师生反思日志待撰写,无法分析师生体验,是(待撰写),按方案每周1篇
G04,前后测数据待采集,无法验证能力提升,是(待采集),使用测评工具实施前后测
G05,对照班未实施,不能支持对比结论,否,按计划在成果固化阶段实施对照
G06,研究课仅2份(非全21课时),实施证据不完整,是(待补充),补充更多课时的研究课记录
G07,中期报告需更新(20课时/七模块→21课时/六模块),口径不一致,是(待更新),按差异说明更新中期报告
G08,创新思维提升20%为预期,无验证数据,否,待前后测验证
G09,计算思维达标率≥85%为预期,无验证数据,否,待前后测验证
G10,评分者一致性未规划,评价可靠性未知,否,作品评价需双评+ICC
G11,伦理与数据治理未说明,学生数据使用条件不清,需补材料,知情同意、数据保存、隐私保护
G12,需求调研报告未完成(仅框架),需求分析不完整,是(待完成),按框架完成调研报告
G13,硬件评估报告未完成(仅框架),资源评估不完整,是(待完成),按框架完成评估报告
G14,校本教材未编写(仅框架),教材未完成,是(待编写),按框架编写校本教材
