claim_id,claim,raw_data,analysis,evidence_location,counterexample_limit,support_level,verification_status
C01,案例已设计完整并实施,六步流程设计+课堂实施描述,文档审查,第1-4页,—,强(设计存在)
C02,问题链追踪器能可视化问题发现过程,工具设计四栏,设计陈述,第2页,无工具效度验证,中(设计存在)
C03,问题=期望-现状公式能转化模糊感受为技术语言,公式设计+三栏分析,设计陈述,第2页,—,中(设计存在)
C04,FreeCAD帮助理解空间结构与问题证据,课堂使用描述,教师叙述,第2页,无学生使用数据,中(教师叙述)
C05,AI辅助学情诊断和问题清单生成,课堂使用描述,教师叙述,第2页,无AI输出记录,中(教师叙述)
C06,学生课堂发言从现象性转向技术性表达,课前课后对比,教师观察,第4页,单次样本、无量化,中(单次样本)
C07,多数学生能完成三行问题链记录,教师观察,教师观察,第4页,无量化比例,中(教师观察)
C08,学生能说出至少两种发现问题的方法,教师观察,教师观察,第4页,无量化比例,中(教师观察)
C09,部分学生主动追问隐性问题,增值表现样例,教师观察,第4页,选择性样例,中(选择性样例)
C10,六步流程可复制可推广,可替换方案设计,设计陈述,第4-5页,无复制验证,中(设计);弱(未验证)
C11,AI辅助决策在人,教师明确原则,设计陈述,第2页,—,强(设计原则)
C12,案例形成可观察的课堂改进成效,前后对比+增值表现,教师观察归纳,第4页,无量化前后测、无对照,弱(因果)
