data_domain,metric,value,unit_or_denominator,sample,analysis_method,evidence_location,verification_note
案例设计,案例总数,2,个,1套,设计统计,总览HTML,三角警告牌+生态鱼缸
案例设计,案例1课时数,5,课时,1个案例,设计统计,案例1,情境→研读→检测→测试→优化
案例设计,案例2单元数,4,单元,1个案例,设计统计,案例2,结构/流程/系统/控制
案例设计,案例2课时数,16-20,课时,1个案例,设计统计,案例2,4单元×4课时+控制弹性
案例设计,教案总数,9,份,1套,设计统计,各教案,案例1(5)+案例2(4)
案例设计,原创工具数,3,个,案例1,设计统计,案例1教案1-3,标准透视镜/解剖刀/量尺台
案例设计,螺旋阶段数,4,阶段,案例1,设计统计,案例1,认识→理解→应用→超越
案例设计,大概念数,4,个,案例2,设计统计,案例2,结构/流程/系统/控制
技术方案,FreeCAD模型数,2,个,1套,文件统计,模型目录,WarningTriangle+EcoFishTank
技术方案,模型文件格式数,3,种,2个模型,文件统计,模型目录,FCStd+STEP+PNG
课标对照,课标附录2案例覆盖,2,个,2案例,对照分析,总览vs课标,案例1+案例2全覆盖
课标对照,必修二4大概念覆盖,4,个,案例2,对照分析,案例2vs课标,结构/流程/系统/控制
