data_domain,metric,value,unit_or_denominator,sample,analysis_method,evidence_location,verification_note
课程设计,三阶数,3,阶,1套课程,设计统计,总指南第二节,基础启蒙/技术实践/综合创新
课程设计,模块数,6,个,1套课程,设计统计,总指南第二节,设计数据
课程设计,课时数(现行实施),21,课时,1套课程,设计统计,总指南第二节,2+3+4+4+4+4
课程设计,课时数(规划容量),66,学时,1套课程,设计统计,开题论证书,"20+30+16;规划容量,非实施口径"
课程设计,每课时时长,45,分钟,1课时,设计统计,总指南,设计数据
课程设计,课堂PPT数,21,课时,1套PPT,文件统计,02/新PPT,HTML版+可编辑版
课程设计,网站文件数,55,个,1个网站,文件统计,02/新网站,已开发
课程设计,教学样件数,10,项主编号,1套样件,文件统计,02/03,含衍生版和桥梁FEM
课程设计,样件生成代码数,10,份,1套代码,文件统计,02/03/生成代码,Python
课程设计,PBL项目链数,1,套,1份设计,设计统计,02/04,设计数据
课程设计,配套资源包数,3,类,1套资源,设计统计,02/06,手册/指南/任务卡
研究目标,创新思维提升目标,20,%,预期,预期陈述,总指南第二节,"预期态,待验证"
研究目标,计算思维达标率目标,85,%,预期,预期陈述,总指南第二节,"预期态,待验证"
教学实施,实验班数,2,个,60人,实施统计,03/01,选修一班+二班
教学实施,学生总数,60,人,2班×30,名单统计,03/01,A01-A30/B01-B30
教学实施,研究课数,2,份,2班,实施统计,03/02,已实施
教学实施,研究课1日期,2025-11-08,日期,选修一班,实施记录,03/02,已实施
教学实施,研究课2日期,2026-03-14,日期,选修二班,实施记录,03/02,已实施
教学实施,预期学生作品总数,360,份,60人×6件,计划统计,03/04,待提交
课题团队,成员数,12,人,1个课题组,人员统计,00/03,含主持人2人
课题团队,学习笔记数,22,篇,11人×2篇,文档统计,01/05,已完成
研究计划,阶段数,4,个,1个课题,计划统计,总指南,基础/开发/实践/固化
研究计划,研究周期,2,年,1个课题,计划统计,总指南,2025.03-2027.06
测评工具,前测卷,1,套,1套工具,文档审查,03/05,已开发
测评工具,后测卷,1,套,1套工具,文档审查,03/05,已开发
数据平台,平台文件数,9,个,1个平台,文件统计,03/05,HTML+JS+CSS
