gap_id,gap_description,impact,can_paper_supply,suggested_action
G01,无对照组或对比学校,不能排除其他因素、不能支持强因果,否,后续采用对照校或多基线设计
G02,无学生能力前测(创新思维、空间思维、跨学科思维),无法证明能力提升,否,增设标准化前后测工具
G03,原始问卷数据与SPSS文件未附,无法复算统计和检查异常,当前不能,视为论文报告值
G04,学生作品原始3D文件与PPT未附,无法核验作品质量与创新度,当前不能,收集作品档案与盲评
G05,期末成绩原始评分表未附,无法核验等级评定一致性,当前不能,双评与评分者一致性检验
G06,访谈或观察记录原件缺失,无法判断教师反馈覆盖度,当前不能,使用匿名编号与编码表
G07,样本性别分布未报告,男女交叉分析无法判断代表性,需作者澄清,补全样本基本特征
G08,作品展示选择性样例,可能存在选择偏差,否,全样本作品档案
G09,教师兼研究者且为实习教师,研究者偏差与实施忠实度风险,否,引入独立观察者
G10,干预剂量不清(课时数、实际教学周数),无法复现实施过程,部分,逐课登记日期时长缺勤
G11,无延迟后测或跟踪,无法判断效果持续性,否,增设延迟回测
G12,工程过程数据薄弱(草图、方案、决策、迭代),不能测量工程设计过程,是,采集工程档案
