data_domain,metric,value,unit_or_denominator,sample,analysis_method,evidence_location,verification_note
参考文献,文后编号数,116,条,1篇论文,文献统计,第71-75页,论文报告值
参考文献,正文引用事件数,205,处,1篇论文,正文扫描,第1-70页,含连续和并列
参考文献,未检出编号数,15,条,1篇论文,对比,—,含英文107-116
教学设计,案例数,2,个,1篇论文,设计统计,第4章,指数对数幂+三角函数
教学设计,教案版本数,2,版/案例,2案例,版本统计,附录E-H,第一版+第二版
教学设计,教学环节数,6,环节/案例,2案例,设计统计,第4章,情境→实验→预测→验证→迁移→反思
教学设计,STEAM设计理念维度数,6,维度,1套,设计统计,第2章,跨学科/体验/设计/协作/艺术/技术增强
教学实施,案例一样本,约50,人,高一13班,问卷统计,第4章+附录M,问卷合计
教学实施,案例二样本,约50,人,高二9班,问卷统计,第4章+附录N,问卷合计
问卷信效度,案例一Cronbach α,0.910,,案例一问卷,SPSS,第3章第20页,>0.8
问卷信效度,案例一标准化α,0.908,,案例一问卷,SPSS,第3章第20页,>0.8
问卷信效度,案例一KMO,0.861,,案例一问卷,SPSS,第3章第20页,>0.7
问卷信效度,案例一Bartlett Sig,0.000,,案例一问卷,SPSS,第3章第20页,<0.035
问卷结果,案例一吸引力期望,1.36,5级量表,约50人,数学期望,第4章,<2.25达成
问卷结果,案例一热情期望,1.48,5级量表,约50人,数学期望,第4章,<2.25达成
问卷结果,案例一数学知识达成,2.24,5级量表,约50人,数学期望,第4章,<2.25达成
问卷结果,案例一跨学科运用达成,2.34,5级量表,约50人,数学期望,第4章,2.25-2.75基本达成
问卷结果,案例一小组合作达成,1.82,5级量表,约50人,数学期望,第4章,<2.25达成
问卷结果,学生偏好STEAM,76,%,约50人,频数分析,第4章,vs常规14%
问卷结果,学生偏好常规教学,14,%,约50人,频数分析,第4章,vs STEAM 76%
观测表,案例一观测维度数,3,维度,1份观测表,设计统计,附录I,情境/实验/函数建构
观测表,案例一观测点数,13,个,1份观测表,设计统计,附录I,4+5+4
结论,结论数,3,条,1篇论文,归纳统计,第5章,论文报告值
建议,建议数,4,条,1篇论文,归纳统计,第5章,论文报告值
