asset_id,data_domain,asset_name,status,source_location,sample_scope,tool_fields,processing,reproducibility
D01,D1元数据,申报书元数据,实际呈现,申报书封面,1份申报书,项目名、主持人、单位、类别、周期、关联课题,文本提取,高
D02,D3研究逻辑,项目背景与7个痛点,设计数据,申报书第一二节、案例材料第1-2节,7个痛点,环境配置/文本反馈/错误信息/评价/出题/工程脱节/大班额,问题分析,高
D03,D3研究逻辑,总体思路与技术赋能理念,设计数据,申报书第三节,1套思路,零安装—即时反馈—三维可视,设计陈述,高
D04,D4课程开发,6模块17课时课程设计,设计数据,申报书第四节、lessons-data.js,6模块17课时,变量/控制结构/数据结构/函数/算法/三维可视化,已编码为JS数据,高
D05,D4教学实施,实施进度4阶段,设计数据,申报书第四节,2年(2025.07-2027.06),平台开发/教学试验/迭代优化/成果总结,计划陈述,高;尚未完成
D06,D4教学实施,教学试验计划,设计数据,申报书第四节,60人双班,前测后测、与FreeCAD课程对比,计划;尚未实施,高;计划态
D07,D5技术方案,Pyodide WebAssembly运行时,设计数据(已实现),申报书、pyodide-runner.js,1个模块,浏览器内Python执行,已开发,高;代码可查
D08,D5技术方案,Three.js三维实时渲染,设计数据(已实现),申报书、3d-visualizer.js,1个模块,参数滑块→3D模型实时渲染,已开发,高;代码可查
D09,D5技术方案,智能错误诊断(30+模式),设计数据(已实现),申报书、error-diagnosis.js,30+错误模式,中文诊断:原因+修复+示例,已开发,高;代码可查
D10,D5技术方案,AI辅导助手,设计数据(已实现),申报书、ai-assistant.js,1个模块,知识库+上下文分析,已开发,高;代码可查
D11,D5技术方案,游戏化评价(15+徽章/XP),设计数据(已实现),申报书、evaluation.js,15+徽章,LocalStorage状态机,已开发,高;代码可查
D12,D5技术方案,题库与考试系统,设计数据(已实现),申报书、quiz-system.js,4题型/4类考试,选择/填空/判断/编程;自动批改,已开发,高;代码可查
D13,D5技术方案,教师后台管理,设计数据(已实现),申报书、teacher-admin.js,1个模块,批量导入/进度查看/CSV导出,已开发,高;代码可查
D14,D4量化数据,前测后测数据,应存在(计划),申报书第四节,60人双班,Python能力前后测,计划采集;尚未实施,不可复核(计划态)
D15,D4量化数据,与FreeCAD课程对比数据,应存在(计划),申报书第四节,同批学生,FreeCAD vs PyCraft,计划采集;尚未实施,不可复核(计划态)
D16,D4量化数据,学习行为数据(XP/徽章/提交),应存在(平台可采集),evaluation.js,全体学生,学习行为日志,平台可自动采集,中;需实际使用
D17,D4量化数据,题库成绩与错题数据,应存在(平台可采集),quiz-system.js,全体学生,各题得分、错题分布,平台可自动批改,中;需实际使用
D18,D4工程过程,学生参数化3D设计作品,应存在(计划),模块六、3d-visualizer.js,全体学生,参数化几何体、组合体,平台可保存,中;需实际使用
D19,D6主张证据,预期成效(学生/教师/推广),设计数据,申报书第五节,预期,消除障碍/减轻负担/可推广,预期陈述,高;预期态
D20,D7缺口,实际课堂数据,应存在,教学试验阶段,60人双班,前后测、行为、作品、成绩,尚未采集,不可复核(未实施)
D21,D7缺口,评分者一致性,应存在,教学试验阶段,—,—,未规划,不可复核
D22,D7缺口,对照组设计,应存在,教学试验阶段,—,FreeCAD vs PyCraft(非随机对照),"计划为同批延伸,非独立对照",需澄清
