claim_id,claim,raw_data,analysis,evidence_location,counterexample_limit,support_level,verification_status
C01,高中开展3D打印校本课程是切实可行的,需求分析、1学期实施、7班级完成,描述性归纳,第3章第15-16页、第5章第40页,单校、无对照校、作者即实习教师,中(存在性)
C02,课程具有三维目标体系,课程目标设计,作者设计陈述,第3章第16-17页,无目标达成度测量,强(设计存在)
C03,大部分学生能掌握3D One软件基本操作,问卷题3-4、614份,频数分析:93%基本能操作,第4章表4-1、4-2,自陈数据、无实操测试,中
C04,男生软件掌握程度高于女生,问卷题4性别交叉,男女比例对比,第4章图4-7,样本性别分布未报告,中
C05,"约30%学生对课程感兴趣,60%一般",问卷题5、614份,频数分析,第4章表4-3,无前测基线、社会期许,中(课后态度)
C06,3D打印课程对其他科目有帮助,问卷题8、36%认为有帮助,频数分析,第4章表4-6,自陈、无学科成绩对照,弱
C07,课程培养学生跨学科思维,期末作品样例(磷脂双分子层、行星模型)、问卷题8,作品观察+问卷,第4章第29页、表4-6,样例选择性、无迁移测验,弱
C08,课程培养学生创新思维,期末作品样例、问卷题9,作品观察+频数,第4章第27-29页、表4-7,无前测、无创新力量表,弱
C09,大部分学生希望自主设计而非模仿,问卷题10、69.87%,频数分析,第4章表4-8,态度偏好不等于能力提升,中(偏好)
C10,课程存在内容编排、设备数量、跨学科结合等问题,教师反馈、问卷,叙事归纳,第4章第39页,无问题严重度排序,中
C11,应增加女生感兴趣素材,男女差异分析,性别交叉,第4章图4-7至4-11,假设性建议、未验证,弱(建议)
C12,3D打印技术有助于学生想象力、创新思维、跨学科思维提高,期末作品、竞赛表现、问卷,作者综合归纳,第5章第40页,无对照组、无前测、无标准化工具,弱(因果)
