data_domain,metric,value,unit_or_denominator,sample,analysis_method,evidence_location,verification_note
教学设计,通用技术大概念数,6,个,1套课程,概念统计,第1页,技术/设计/结构/流程/系统/控制
教学设计,单元课时数,4,课时,1个单元,设计统计,第2页,发现与明确问题/挑选材料/技术试验/技术设计方案
教学设计,核心素养维度数,5,维度,1套目标,设计统计,第2页,技术意识/工程思维/创新设计/图样表达/物化能力
教学设计,课标要求数,3,项,1套目标,设计统计,第2页,设计过程/设计方案/材料选择
教学设计,教学环节数,6,环节,1课时,设计统计,第3-4页,情境导入→提出问题→合作探究→解决问题→小结→课后探究
教学设计,课堂活动数,3,个,1课时,设计统计,第3-4页,暖手宝体验/信息搜集/明确设计问题
教学设计,分组人数,4,人/组,1节课,设计统计,第3页,设计数据
教学设计,信息搜集维度数,4,维度,1张表,设计统计,第3页表1,功能/式样/材料/价格
教学设计,信息搜集方式数,4,种,1张表,设计统计,第3页表1,实地/用户/网上/图书
教学设计,技术要求数,6,项,1张表,设计统计,第4页表2,材料/外观/热源/安全/寿命/续航
教学设计,设计限制数,5,项,1张表,设计统计,第4页表3,时间/成本/设备/环境/能力
教学反思,反思维度数,2,项,1份案例,反思统计,第4页,真实情景/大概念可行性
参考文献,文后编号数,2,条,1篇论文,文献统计,第4页,论文报告值
参考文献,正文引用标记数,0,处,1篇论文,正文扫描,第1-4页,正文无引用标记
