gap_id,gap_description,impact,can_paper_supply,suggested_action
G01,无对照组或对比课程,"不能排除其他因素,不能支持强因果",否,后续采用对照班或多基线设计
G02,无学生能力标准化前后测,无法量化能力提升,否,增设计算思维前后测、设计挑战前后测
G03,学生样本量与基本特征未报告,无法判断代表性,需作者澄清,补全样本人数、年级、背景
G04,量规原始评分数据未附,无法核验评分一致性和等级判定,当前不能,收集全样本评分数据与双评
G05,评分者一致性未报告(教师单评),评价可靠性未知,当前不能,双评、ICC或一致率
G06,"学生作品仅2例样例(A/B),非全样本",可能存在选择偏差,否,全样本作品档案
G07,发展性评价前后对比仅1例(D),无法判断全体学生成长,否,全样本前后对比
G08,实践成效无量化数据支撑,5维度提升只有教师观察归纳,否,补充量化指标与统计检验
G09,教师兼研究者,研究者偏差与实施忠实度风险,否,引入独立观察者
G10,正文无参考文献引用标记,无法追溯文献使用位置,否,正式发表版应补引用标记
G11,无延迟后测或跟踪,无法判断效果持续性,否,增设延迟回测
G12,评价体系时间成本未量化,"""时间投入要求较高""但无数据",部分,记录评价工时与成本
