asset_id,data_domain,asset_name,status,source_location,sample_scope,tool_fields,processing,reproducibility
D01,D1元数据,教案包元数据,实际呈现,总览HTML,1套教案,11份教案+4个模型,文本提取,高
D02,D3研究逻辑,设计理念(AI赋能+FreeCAD+OBE-GAI),设计数据,总览HTML,1套,AI工程顾问/分析助手/评价伙伴;FreeCAD可视化,设计陈述,高
D03,D4教学实施,必修一教案(7份),设计数据,必修一目录,7份,第1-7章覆盖,教案设计,高
D04,D4教学实施,必修二教案(4份),设计数据,必修二目录,4份,第1-4单元覆盖,教案设计,高
D05,D4教学实施,教案1:技术的发展(AI史梳理+3D打印启蒙),设计数据,必修一/01,1课时,技术发展史+AI辅助,教案,高
D06,D4教学实施,教案2:设计的一般原则(AI案例检索+钥匙扣),设计数据,必修一/02,1课时,7原则+AI检索,教案,高
D07,D4教学实施,教案3:发现问题(AI需求分析+三棱镜工具),设计数据,必修一/03,1课时,问题挖掘三棱镜(观察/访谈/体验)+FreeCAD手机支架,教案,高
D08,D4教学实施,教案4:方案的构思(AI方案对比+参数化笔筒),设计数据,必修一/04,1课时,构思方法+AI权衡,教案,高
D09,D4教学实施,教案5:计算机辅助设计(AI+FreeCAD协同建模),设计数据,必修一/05,1课时,CAD+AI协同+L支架模型,教案,高
D10,D4教学实施,教案6:制作台灯模型(AI原型迭代+台灯5部件),设计数据,必修一/06,1课时,模型制作+AI迭代+台灯模型,教案,高
D11,D4教学实施,教案7:设计评价与优化(AI量规生成+模型对比),设计数据,必修一/07,1课时,评价+AI量规,教案,高
D12,D4教学实施,教案8:结构设计(OBE-GAI+桁架桥52部件),设计数据,必修二/08,2课时,结构设计五步法+AI工程顾问+桁架桥+虚实双线,教案,高
D13,D4教学实施,教案9:流程设计(AI流程模拟+储物盒装配),设计数据,必修二/09,1课时,流程设计+AI优化,教案,高
D14,D4教学实施,教案10:系统及其特性(AI系统拆解+决策),设计数据,必修二/10,1课时,系统分析+AI拆解,教案,高
D15,D4教学实施,教案11:闭环控制系统(AI参数预测+温室大棚),设计数据,必修二/11,1课时,反馈环分析法+跨学科类比(体温调节)+AI参数预测,教案,高
D16,D5技术方案,FreeCAD配套模型(4个),实际呈现,FreeCAD配套模型目录,4个模型,DeskLamp/Greenhouse/LBracket/TrussBridge,FCStd+STEP+PNG,高;可打开
D17,D5技术方案,模型索引HTML,实际呈现,模型索引.html,1份,4个模型说明,HTML,高
D18,D3研究逻辑,AI应用原则(工程顾问/分析助手/评价伙伴),设计数据,总览HTML,1套,批判性使用+交互记录+采纳说明,设计陈述,高
D19,D3研究逻辑,模型应用原则(可视化教学工具),设计数据,总览HTML,1套,"帮助理解抽象概念,非展示技术",设计陈述,高
D20,D6主张证据,11份教案均含五维核心素养目标,设计数据,各教案,11份,技术意识/工程思维/创新设计/图样表达/物化能力,设计审查,高
D21,D6主张证据,原创教学工具(3个),设计数据,教案3/8/11,3个,问题挖掘三棱镜/结构设计五步法/反馈环分析法,设计陈述,高
D22,D7缺口,教案实施数据,应存在,教学过程,未实施,课堂观察/学生产出/前后测,未采集,不可复核
D23,D7缺口,评价量规原件,应存在,各教案,未附,部分教案提及量规但未附原件,未附,不可复核
D24,D7缺口,学生AI交互记录模板,应存在,各教案,未附,提及GAI交互记录表但未附模板,未附,不可复核
