asset_id,data_domain,asset_name,status,source_location,sample_scope,tool_fields,processing,reproducibility
D01,D1元数据,论文元数据,实际呈现,封面,1篇论文,题名、作者、页数,文本提取,高;期刊名/单位未标注
D02,D2参考文献,文后参考文献与正文引用,实际呈现,第2页正文、第2页脚注,1编号1实体1引用,书目、上下文,已映射,高
D03,D3研究逻辑,案例背景与4个痛点,实际呈现,第1-2页,4个痛点,设计浅表化/指导缺位/反思走过场/GAI误区,问题分析,高
D04,D3研究逻辑,OBE反向设计思路,设计数据,第2-3页,1套思路,预期产出→GAI活动→评价量规→全过程嵌入,设计陈述,高
D05,D3研究逻辑,5项预期学习产出,设计数据,第2-3页,5项,技术意识/工程思维/创新设计/图样表达/物化能力,设计陈述,高
D06,D4教学实施,教学设计:课前+课中+课后,设计数据,第3-5页,2课时,微课/GAI探究/OBE任务/方案构思/模型制作/承重测试/展示评价,设计陈述,高
D07,D4教学实施,GAI赋能:3种介入方式,设计数据,第4-5页,3种,工程顾问/比较权衡/课后仿真,设计陈述,高
D08,D4教学实施,评价量规(6维度),设计数据,第5页,1套,方案合理性20%/创新性20%/物化质量20%/数据反思15%/合作15%/GAI使用10%,设计陈述,高
D09,D4教学实施,分层教学(基础/提升/高阶组),设计数据,第3页,3组,课前分组,设计陈述,高
D10,D4量化数据,实验班vs对照班平均最大承重对比,部分呈现,第5页,实验班vs对照班,提升约32%,对比,中;无原始数据
D11,D4量化数据,承重测试数据(分级加载),应存在,第5页,各组模型,100g→200g→400g、变形载荷、破坏载荷,课堂采集,不可复核(未附)
D12,D4工程过程,学生桥梁设计方案表,应存在,第4页,各组,桥型/尺寸/材料/预估承重/GAI交互,课堂填写,不可复核(未附)
D13,D4工程过程,学生草图与三视图,应存在,第4页,各组,手绘/CAD草图,课堂绘制,不可复核(未附)
D14,D4学生交流,GAI交互记录,应存在,第4页,各组,提示语/AI建议/采纳说明,课堂记录,不可复核(未附)
D15,D4学生交流,90秒陈述与多元评价,应存在,第5页,各组,设计亮点/GAI使用/测试结果,课堂实施,不可复核(未附)
D16,D6主张证据,创新亮点(3项),设计数据,第5页第三节,3项,理念创新/方法创新/机制创新,设计陈述,高
D17,D6主张证据,实践成效(学生/教师/推广),部分呈现,第5-6页,3维度,承重提升32%/课堂形态转变/校内推广,教师归纳,中;无量化原始数据
D18,D7缺口,实验班与对照班原始数据,应存在,第5页,未附,承重数据/方案数量/评分,未附,不可复核
D19,D7缺口,学生样本量与基本特征,应存在,教学实施,未报告,人数/班级/分组方式,未报告,不可复核
D20,D7缺口,评价量规信效度,应存在,第5页,未验证,6维度量规,未试测,不可复核
D21,D7缺口,GAI提示语质量评价标准,应存在,第5页,未附,"提示语质量""明显改善""无标准",未附,不可复核
