reference_label,entity_id,reference_text,authors,title,document_type,source_container,year,citation_count,thesis_pages,mapping_status,metadata_verification
1,E001,范文翔，张一春.STEAM 教育:发展、内涵与可能路径[J].现代教育技术，2018，2803: 99-105.,范文翔，张一春,STEAM 教育:发展、内涵与可能路径,J,,2018,1,,已匹配,"仅据论文参考文献表,未回原始来源核验"
2,E002,"中华人民共和国教育部.基础教育课程改革纲要[M].北京:人民教育出版社,2017．",中华人民共和国教育部,基础教育课程改革纲要,M,,2017,1,,已匹配,"仅据论文参考文献表,未回原始来源核验"
3,E003,"中华人民共和国教育部.普通高中数学课程标准(2017 年版)[M].北京:人民教育出版 社,2017．",中华人民共和国教育部,普通高中数学课程标准(2017 年版),M,,2017,1,,已匹配,"仅据论文参考文献表,未回原始来源核验"
4,E004,"赵慧臣,陆晓婷.发展、内涵与可能路径——访美国 STEAM 教育知名学者格雷特·亚克门 教授[J].开放教育研究,2016,2205:4-10.","赵慧臣,陆晓婷",发展、内涵与可能路径——访美国 STEAM 教育知名学者格雷特·亚克门 教授,J,,2016,1,,已匹配,"仅据论文参考文献表,未回原始来源核验"
5,E005,"魏晓东,于冰,于海波.美国 STEAM 教育的框架、特点及启示[J].华东师范大学学报(教育 科学版),2017,3504:40-46+134-135.","魏晓东,于冰,于海波",美国 STEAM 教育的框架、特点及启示,J,,2017,1,,已匹配,"仅据论文参考文献表,未回原始来源核验"
6,E006,"彭敏,朱德全.STEAM有效教学的关键特征与实施路径——基于美国STEAM教师的视角[J]. 远程教育杂志,2018,3602:48-55.","彭敏,朱德全",STEAM有效教学的关键特征与实施路径——基于美国STEAM教师的视角,J,,2018,1,,已匹配,"仅据论文参考文献表,未回原始来源核验"
7,E007,"李王伟,徐晓东.统整艺术与STEM实践的创新力培养——来自美国八大STEAM教育案例的 启示[J].外国中小学教育,2018,12:9-17.","李王伟,徐晓东",统整艺术与STEM实践的创新力培养——来自美国八大STEAM教育案例的 启示,J,,2018,1,,已匹配,"仅据论文参考文献表,未回原始来源核验"
8,E008,"赵书琪,于洪波.美国 STEM教育研究 30 年:历程、特点与启示[J].现代教育技术,2019, 29(01):5-10.","赵书琪,于洪波",美国 STEM教育研究 30 年:历程、特点与启示,J,,2019,1,,已匹配,"仅据论文参考文献表,未回原始来源核验"
9,E009,"杜文彬.国外 STEM 教育研究的热点主题与特点探析[J].电化教育研究,2018,39(11): 120-128.",杜文彬,国外 STEM 教育研究的热点主题与特点探析,J,,2018,1,,已匹配,"仅据论文参考文献表,未回原始来源核验"
10,E010,"李王伟,徐晓东.作为一种学习方式存在的 STEAM 教育:路径何为[J].电化教育研 究,2018,3909:28-36.","李王伟,徐晓东",作为一种学习方式存在的 STEAM 教育:路径何为,J,,2018,1,,已匹配,"仅据论文参考文献表,未回原始来源核验"
11,E011,"彭敏,郭梦娇.STEAM 教育的基本内涵与发展路径研究[J].教育理论与实践,2018,3825: 14-18.","彭敏,郭梦娇",STEAM 教育的基本内涵与发展路径研究,J,,2018,1,,已匹配,"仅据论文参考文献表,未回原始来源核验"
12,E012,"严文法,芦瑾,金普军.基于6E设计型学习模式的STEAM活动设计——以青铜器文物除锈 为例[J].化学教学,2018,11:61-65.","严文法,芦瑾,金普军",基于6E设计型学习模式的STEAM活动设计——以青铜器文物除锈 为例,J,,2018,1,,已匹配,"仅据论文参考文献表,未回原始来源核验"
13,E013,"郭芬芬.创造力培养视野下的 STEAM 课程评价研究[D].中央民族大学,2018.",郭芬芬,创造力培养视野下的 STEAM 课程评价研究,D,,2018,1,,已匹配,"仅据论文参考文献表,未回原始来源核验"
14,E014,"高凯涛,高杰,贾嫚.STEM 教育理念下技术与课程的融合探究[J].现代教育技术, 2018,28(09):106-112.","高凯涛,高杰,贾嫚",STEM 教育理念下技术与课程的融合探究,J,,2018,1,,已匹配,"仅据论文参考文献表,未回原始来源核验"
15,E015,"赵呈领,赵文君,蒋志辉.面向 STEM 教育的 5E 探究式教学模式设计[J].现代教育技 术,2018,28(03):106-112.","赵呈领,赵文君,蒋志辉",面向 STEM 教育的 5E 探究式教学模式设计,J,,2018,1,,已匹配,"仅据论文参考文献表,未回原始来源核验"
16,E016,"祝智庭,雷云鹤.STEM 教育的国策分析与实践模式[J].电化教育研究,2018, 39(01): 75-85.","祝智庭,雷云鹤",STEM 教育的国策分析与实践模式,J,,2018,2,,已匹配,"仅据论文参考文献表,未回原始来源核验"
17,E017,"张屹,赵亚萍,何玲,白清玉.基于 STEM 的跨学科教学设计与实践[J].现代远程教育研 究,2017(06):75-84.","张屹,赵亚萍,何玲,白清玉",基于 STEM 的跨学科教学设计与实践,J,,2017,1,,已匹配,"仅据论文参考文献表,未回原始来源核验"
18,E018,"许亮亮,邹正,马嘉源.基于 STEAM教育的高中化学创新实验研究——以“化学红绿灯振 荡反应最优条件探究”为例[J].化学教育(中英文),2017,3821:55-59.","许亮亮,邹正,马嘉源",基于 STEAM教育的高中化学创新实验研究——以“化学红绿灯振 荡反应最优条件探究”为例,J,,2017,1,,已匹配,"仅据论文参考文献表,未回原始来源核验"
19,E019,"周玉琴,郑欣进,陈实.STEAM 教育理念在高中地理教学中的应用初探——以“大气的受 热过程”为例[J].地理教学,2018,11:13-16+20.","周玉琴,郑欣进,陈实",STEAM 教育理念在高中地理教学中的应用初探——以“大气的受 热过程”为例,J,,2018,1,,已匹配,"仅据论文参考文献表,未回原始来源核验"
20,E020,"熊小菊,廖春贵,熊开宏,胡宝清.STEAM 教育理念在中学地理教学中的运用[J].教学与 管理,2019,15:115-117. 基于 STEAM 教育理念的高中函数教学设计研究 72","熊小菊,廖春贵,熊开宏,胡宝清",STEAM 教育理念在中学地理教学中的运用,J,,2019,1,,已匹配,"仅据论文参考文献表,未回原始来源核验"
21,E021,"史颜君.基于 STEAM 理念的初中物理课程设计研究[D].广西师范大学,2017.",史颜君,基于 STEAM 理念的初中物理课程设计研究,D,,2017,1,,已匹配,"仅据论文参考文献表,未回原始来源核验"
22,E022,"匡丽媛.基于 STEAM 教育理念的数学活动的开发[D].上海师范大学,2018.",匡丽媛,基于 STEAM 教育理念的数学活动的开发,D,,2018,1,,已匹配,"仅据论文参考文献表,未回原始来源核验"
23,E023,"王坚.STEAM教育理念下的物理教学初探[D].华中师范大学,2017.",王坚,STEAM教育理念下的物理教学初探,D,,2017,1,,已匹配,"仅据论文参考文献表,未回原始来源核验"
24,E024,"汪成臣.探究 STEAM 教育在生物教学中的应用[D].贵州师范大学,2018.",汪成臣,探究 STEAM 教育在生物教学中的应用,D,,2018,1,,已匹配,"仅据论文参考文献表,未回原始来源核验"
25,E025,"朱彩虹.基于初中物理小制作活动的 STEAM 教育实践[D].内蒙古师范大学,2018.",朱彩虹,基于初中物理小制作活动的 STEAM 教育实践,D,,2018,1,,已匹配,"仅据论文参考文献表,未回原始来源核验"
26,E026,"余胜泉,胡翔.STEM 教育理念与跨学科整合模式[J].开放教育研究，2015，21(04): 13-22.","余胜泉,胡翔",STEM 教育理念与跨学科整合模式,J,,2015,6,,已匹配,"仅据论文参考文献表,未回原始来源核验"
27,E027,高凯涛，高杰，贾嫚.STEM教育理念下技术与课程的融合探究[J].现代教育技术，2018， 28(09):106-112.,高凯涛，高杰，贾嫚,STEM教育理念下技术与课程的融合探究,J,,2018,1,,已匹配,"仅据论文参考文献表,未回原始来源核验"
28,E028,"金美月.中学数学教学设计.重庆:西南大学出版社,待版.",,,,,,2,,已匹配,"仅据论文参考文献表,未回原始来源核验"
29,E029,"孙江山,吴永和,任友群.3D 打印教育创新:创客空间、创新实验室和 STEAM[J].现代远 程教育研究,2015,(4):96-103.","孙江山,吴永和,任友群",3D 打印教育创新:创客空间、创新实验室和 STEAM,J,,2015,1,,已匹配,"仅据论文参考文献表,未回原始来源核验"
