asset_id,data_domain,asset_name,status,source_location,sample_scope,tool_fields,processing,reproducibility
D01,D1元数据,案例元数据,实际呈现,封面,1篇论文,题名、页数,文本提取,高;作者/单位/期刊未标注
D02,D3研究逻辑,案例背景与3个痛点,实际呈现,第1-2页,3个痛点,教学形式固化/教评闭环断裂/新技术融合不足,问题分析,高
D03,D3研究逻辑,AI赋能+项目化双路径设计,设计数据,第2页,2条路径,AI技术赋能+项目化教学运作,设计陈述,高
D04,D4教学实施,分层分组(56人8组),设计数据(已实施),第2-3页,56人8组,逻辑分析型/动手操作型/创意设计型/文案表达型,分层分组,中;已实施
D05,D4教学实施,分层任务设计(3层),设计数据(已实施),第3-4页,3层,基础层(系统拆解)/提升层(数据关联)/拓展层(深度更新),设计陈述,高
D06,D4量化数据,AI模拟场景决策表,真实实施数据,第3页,3个场景,响应态/旅游态+响应态/花期强制停靠;AI预测结果→学生决策,课堂实施,中;3个场景样例
D07,D4教学实施,评价量规(4维度100分),设计数据,第4页,1套,系统思维30/探究实践30/协作表达20/学科素养20,设计陈述,高
D08,D5技术方案,KIMI作为AI工具,设计数据(已使用),第2-3页,1个工具,问题解答/数据分析/模拟验证/评价建议,课堂使用,中
D09,D4教学实施,教学流程5环节,设计数据,第2页,1套,情境导入→系统分析→方案设计→模拟验证→多元评价,设计陈述,高
D10,D4工程过程,学生设计成果:系统架构图,部分呈现,第5页图1,选择性样例,智能响应式停靠公交系统架构,图片展示,中;选择性样例
D11,D4工程过程,学生设计成果:流程图,部分呈现,第5页图2,选择性样例,铃停公交系统流程图,图片展示,中;选择性样例
D12,D4学生交流,学生适老模式设计(大字号/方言播放),部分呈现,第4页,部分小组,适老化设计,教师叙述,中;选择性样例
D13,D4学生交流,第一小组假期旅游专线方案,部分呈现,第3-4页,1个小组,绕开通勤道路/削减占用,教师叙述,中;单组样例
D14,D4教学实施,过程性评定与互评,设计数据(已实施),第4页,全体学生,组内互评,课堂实施,中;无原始评分
D15,D6主张证据,创新亮点(4项),设计数据,第6-7页,4项,减负提质/素养发展/模式迭代/技术融合,设计陈述,高
D16,D6主张证据,改革成效评估图,部分呈现,第7页图3,1张图,AI赋能项目化学习改革成效,图片,中;无量化数据
D17,D6主张证据,实践成效(4维度),部分呈现,第6-7页,4维度,减负提质/素养发展/模式变革/技术融合,教师归纳,中;无量化原始数据
D18,D7缺口,学生原始评分数据,应存在,教学过程,56人,4维度评分,未附,不可复核
D19,D7缺口,学生设计方案原始文件,应存在,课堂过程,各组,系统架构/流程图/方案,未附,不可复核
D20,D7缺口,AI交互记录,应存在,课堂过程,各组,KIMI对话记录,未附,不可复核
D21,D7缺口,对照组或对比课,应存在,研究过程,无,无,未设计,不可复核
D22,D7缺口,学生样本量与基本特征,应存在,教学实施,56人8组(已报告人数),年级/班级/分组依据,部分报告,"中;人数已报告,分组依据简略"
