数据域,指标,数值,单位或分母,样本,分析方法,证据位置,核验说明
课程需求问卷,预调查样本量,25,人,五年级学生,问卷预调查,论文第17页,论文报告值
课程需求问卷,KMO,0.731,,25人,SPSSAU信效度分析,论文第17页,论文仅据阈值判断效度
课程需求问卷,Cronbach's alpha,0.817,,25人,SPSSAU信度分析,论文第17页,论文报告值
课程需求问卷,正式有效样本,135,份,五年级学生,在线问卷,论文第17页,不可用0份
课程需求问卷,非常期待开课,36.3,%,135份,频数分析,论文第17页图3-2及正文,论文报告百分比
课程需求问卷,动手设计制作动机,55.56,%,135份,频数分析,论文第18页图3-3及正文,论文报告百分比
课程需求问卷,最想学习建模软件,67.41,%,135份,频数分析,论文第18页图3-5及正文,论文报告百分比
课程需求问卷,非常愿意展示作品,40,%,135份,频数分析,论文第19页图3-6及正文,论文报告百分比
课程需求问卷,非常希望小组合作,37.8%（51人）,135份,135份,频数分析,论文第19页图3-7及正文,论文同时报告人数与百分比
课程需求问卷,明确不愿参与小组合作,8.15,%,135份,频数分析,论文第19页,论文报告百分比
教学效果问卷,发放数,27,份,课程班学生,问卷调查,论文第29页,2018-12-10
教学效果问卷,回收数,27,份,课程班学生,问卷调查,论文第29页,回收率100%
教学效果问卷,课程内容维度alpha,0.734,5题,27份,Cronbach's alpha,论文第29页表3-2,论文报告值
教学效果问卷,教师教学方式维度alpha,0.706,2题,27份,Cronbach's alpha,论文第29页表3-2,论文报告值
教学效果问卷,学生学习情况维度alpha,0.850,11题,27份,Cronbach's alpha,论文第29页表3-2,论文报告值
教学效果问卷,教学环境满意度维度alpha,0.759,2题,27份,Cronbach's alpha,论文第29页表3-2,论文报告值
教学效果问卷,总体alpha,0.928,20题,27份,Cronbach's alpha,论文第29页表3-2,论文报告值
教学效果问卷,KMO,0.545,,27份,KMO检验,论文第30页表3-3,样本很小且未呈现因子结构
教学效果问卷,Bartlett近似卡方,390.869,,27份,Bartlett球形检验,论文第30页表3-3,df=190
教学效果问卷,Bartlett显著性,0.000,,27份,Bartlett球形检验,论文第30页表3-3,论文报告值
教师教学评价,非常喜欢辅助教学视频,48.1,%,27名学生,频数分析,论文第44页图5-1及正文,论文报告百分比
教师教学评价,一般至非常喜欢教学视频,79.9,%,27名学生,频数分析,论文第44页,与同段“74%喜欢”口径不完全一致
教师教学评价,非常喜欢教师上课方式,51.9,%,27名学生,频数分析,论文第44页图5-2及正文,论文报告百分比
教师教学评价,能够适应教师上课方式,92.6,%,27名学生,频数分析,论文第44页,论文归纳口径
创造性人格前测,创造力一般,18,人,27人,托兰斯创造性人格测试,论文第50页图5-10及正文,分类阈值见附录D
创造性人格前测,创造力很好,1,人,27人,托兰斯创造性人格测试,论文第50页,论文报告值
创造性人格前测,创造力好,5,人,27人,托兰斯创造性人格测试,论文第50页,论文报告值
创造性人格前测,创造力差,3,人,27人,托兰斯创造性人格测试,论文第50页,附录D只列一般/好/很好阈值，“差”的规则未见
威廉斯创造性倾向,前测有效问卷,27,份,27人,前测,论文第51页,论文报告值
威廉斯创造性倾向,后测有效问卷,25,份,27人,后测,论文第51页,缺失2份
威廉斯创造性倾向,有效配对样本,25,对,课程班学生,配对样本T检验,论文第51页,未报告缺失原因
威廉斯创造性倾向,前测均值,122.41,分,25对,配对样本T检验,论文第51页,未报告标准差
威廉斯创造性倾向,后测均值,132.57,分,25对,配对样本T检验,论文第51页,未报告标准差
威廉斯创造性倾向,P值,0.002,,25对,配对样本T检验,论文第51页,未报告t、df、置信区间和效应量
课程兴趣,喜欢3D打印课程,超过70,%,27名学生,频数分析,论文第51页,未给精确人数
课程兴趣,没感觉或不喜欢,4,人,27名学生,频数分析,论文第51页,合并口径
课程内容评价,满意课程,63,%,27名学生,频数分析,论文第53页,论文报告百分比
课程内容评价,可接受课程内容编排,92.6,%,27名学生,频数分析,论文第53页,论文归纳口径
课程内容评价,认为学到多或很多跨学科知识,59.2,%,27名学生,频数分析,论文第53页,自陈结果
