data_domain,metric,value,unit_or_denominator,sample,analysis_method,evidence_location,verification_note
教学设计,课时数,2,课时,1个案例,设计统计,第1页,设计数据
教学设计,预期学习产出数,5,项,1套,设计统计,第2-3页,设计数据
教学设计,痛点数,4,个,1份案例,问题分析,第2页,设计数据
教学设计,GAI介入方式数,3,种,1节课,设计统计,第4-5页,工程顾问/比较权衡/课后仿真
教学设计,评价维度数,6,维度,1套量规,设计统计,第5页,方案/创新/物化/数据反思/合作/GAI
教学设计,分层组数,3,组,1节课,设计统计,第3页,基础/提升/高阶
教学设计,桥型候选数,2-3,种/组,1节课,设计统计,第4页,简支梁/拱/桁架
教学设计,创新亮点数,3,项,1份案例,设计统计,第5页,理念/方法/机制
教学设计,课中环节数,5,环节,1节课,设计统计,第4-5页,任务发布/需求分析/方案构思/模型制作/展示评价
技术试验,承重测试分级,3,级,各组模型,分级加载,第5页,100g→200g→400g
技术试验,桥梁跨度要求,≥30,cm,1个项目,设计要求,第4页,设计数据
技术试验,载荷要求,≥400,g,1个项目,设计要求,第4页,设计数据
技术试验,陈述时长,90,秒,各组,设计要求,第5页,设计数据
实施成效,实验班vs对照班承重提升,约32,%,实验班vs对照班,对比分析,第5页,无原始数据、无统计检验
实施成效,评价量规GAI使用占比,10,%,1套量规,设计统计,第5页,设计数据
参考文献,文后编号数,1,条,1篇论文,文献统计,第2页脚注,论文报告值
参考文献,正文引用数,1,处,1篇论文,正文扫描,第2页,已匹配
