data_domain,metric,value,unit_or_denominator,sample,analysis_method,evidence_location,verification_note
教学设计,教学流程步数,6,步,1节课,设计统计,第2-4页,设计数据
教学设计,核心工具数,2,个,1节课,设计统计,第2页,问题链追踪器+核心公式
教学设计,问题链追踪器栏数,4,栏,1个工具,设计统计,第2页,方案状态/解决了什么/仍存在/下一步追问
教学设计,核心公式变量数,3,个,1个公式,设计统计,第2页,期望/现状/问题
教学设计,方案对比次数,3,次,1节课,设计统计,第2页,初始/方案一/方案二
教学设计,迁移应用场景数,5,个,1节课,设计统计,第3页,雨伞/文具/耳机/拖鞋/钥匙
教学设计,发现问题方法数,5,种,1节课,设计统计,第3页,观察/访谈/问卷/文献/试验
教学设计,评价类型数,3,类,1套评价,设计统计,第3页,诊断性/过程性/表现性
教学设计,创新亮点数,5,项,1份案例,设计统计,第3-4页,设计数据
技术方案,数字化工具数,2,个,1节课,设计统计,第2页,FreeCAD+AI
技术方案,AI功能数,3,项,1节课,设计统计,第2页,学情归类/问题清单/参数脚本
教学实施,沉默期时长,5-8,秒,1个环节,设计陈述,第2页,方案一探究
教学实施,小组汇报时长,30,秒,1个环节,设计陈述,第3页,迁移应用
教学实施,课堂样本数,1,次,1份案例,教师观察,第4页,单次样本
教学实施,学生问题链记录行数,3,行(多数),1次样本,教师观察,第4页,"""多数学生""无量化比例"
教学实施,学生方法使用数,≥2,种,1次样本,教师观察,第4页,"""至少两种""无量化比例"
实施成效,课前现象性表达占比,多数,—,1次样本,教师观察,第4页,无量化比例
实施成效,课后技术性表达占比,明显转向,—,1次样本,教师观察,第4页,无量化比例
