asset_id,data_domain,asset_name,status,source_location,sample_scope,tool_fields,processing,reproducibility
A01,D1,论文元数据,实际呈现,"F01｜PDF1、7｜论文62、68｜题名、作者简介、页脚",单篇论文,"题名;作者;单位;期刊;页码",逐页转录并核对,高（期次和稳定标识除外）
A02,D2,文后参考文献表,实际呈现,"F01｜PDF7｜论文68｜参考文献",3条,"编号;作者;题名;类型;来源;年份;页码",逐条转录与规范化,高（未核被引原文）
A03,D2,正文引用事件,实际呈现,"F01｜PDF1-2｜论文62-63｜一、三",4处,"编号;页码;章节;语境;模式;目的",逐处定位与编号映射,高
A04,D3,五类学生活动分类,实际呈现,"F01｜PDF2｜论文63｜表1",5类,"活动类型;说明",表格转录与课堂证据字段重构,高
A05,D3,六课时单元安排,实际呈现,"F01｜PDF3｜论文64｜二、单元教学设计",6课时,"课次;课题",顺序转录,高
A06,D3,本课五阶段流程,实际呈现,"F01｜PDF4-6｜论文65-67｜三、课例设计",课堂样本未报告,"阶段;教师行为;学生行为;资源;产物",流程重建,中（阶段时间缺失）
A07,D4,任务约束与成功标准,设计预期,"F01｜PDF3｜论文64｜情境任务",各学习小组,"加载位置;载荷;位移阈值;材料约束","将2 kg、<2 mm标记为设计阈值而非结果",高（规则）/无（结果）
A08,D5,统一起点桥梁模型,设计预期,"F01｜PDF3-4｜论文64-65｜教学准备与过程",各学习小组,"原模型;复制误差;基线性能",识别为基线控制设计,低（原模型和基线数据未附）
A09,D5,桥梁加载测试流程,设计预期,"F01｜PDF5-6｜论文66-67｜展示与测试",各组桥梁,"载荷kg;位移mm;失效模式;重复次数",提取测试条件并审计缺口,低（无原始读数）
A10,D5,课堂评价表,实际呈现（工具）,"F01｜PDF6｜论文67｜表2",学生个体与小组,"15项过程与结果指标;自评;互评",工具结构审计,中（评分尺度与结果缺失）
A11,D5,课后评价表,实际呈现（工具）,"F01｜PDF7｜论文68｜表3",学生个体,"客观文字描述;星级表现;过程;结果",工具结构审计,中（填答结果缺失）
A12,D6,学生主体性占比,作者声称,"F01｜PDF7｜论文68｜四、教学反思",整节课,"学生活动占比约70%",标记为作者陈述,低（无计时记录）
A13,D6,桥梁实测结果,缺失,"F01｜全文核查",样本未报告,"各组载荷;位移;失效;是否达标",保持缺失不补全,不可复核
A14,D6,学生评价原始记录,缺失,"F01｜全文核查",样本未报告,"自评;互评;教师评;评语",保持缺失不补全,不可复核
A15,D7,作者教学反思,实际呈现,"F01｜PDF7｜论文68｜四、教学反思",单篇案例,"学生主体;技术实践;静载简化;移动荷载建议",区分作者反思与实证结论,高（文本）
