claim_id,claim,raw_data,analysis,evidence_location,counterexample_limit,support_level,verification_status
C01,课题已立项并处于中期阶段,立项批复2024B-178、中期报告,文档审查,06基础材料/01-02,—,强(立项确认)
C02,三阶六模块课程结构已设计完成,课程结构MD+PDF+网站+PPT,设计审查,01/04、02/新网站新PPT,—,强(设计完成)
C03,21课时课堂资源已开发完成,PPT(HTML+PPTX)+网站55文件+样件,代码审查,02开发设计,—,强(资源完成)
C04,教学样件已制作(10项主编号),FCStd+STL+PY+轴测图,文件审查,02/03,—,强(样件存在)
C05,桥梁有限元分析已完成,CalculiX仿真结果文件,文件审查,02/03/桥梁FEM,—,强(FEM完成)
C06,2份研究课已实际实施,研究课1(2025-11-08)+研究课2(2026-03-14),文档审查,03/02,"仅2份,非全课时",中(部分实施)
C07,实验班60人已确定,学生名单A01-A30/B01-B30,文档审查,03/01,—,强(样本确定)
C08,数据采集方案已设计,数据采集说明MD,方案审查,03/04,大部分数据待采集,中(方案完成);弱(数据未采集)
C09,课程研究数据平台已开发,HTML+JS+CSS,代码审查,03/05,—,强(平台开发)
C10,FreeCAD专项测评工具已开发,前测卷/后测卷/量表/提纲,文档审查,03/05,—,强(工具开发)
C11,课题组成员学习笔记已完成(11人22篇),22篇学习笔记MD+PDF,文档审查,01/05,—,强(笔记完成)
C12,创新思维将提升20%,研究目标量化指标,预期陈述,总指南第二节,无前后测数据,弱(预期);待验证
C13,计算思维达标率将≥85%,研究目标量化指标,预期陈述,总指南第二节,无前后测数据,弱(预期);待验证
C14,课题可形成可推广的校本课程开发范式,预期成效,预期陈述,总指南第二节,未到成果固化阶段,弱(预期);待验证
