gap_id,gap_description,impact,can_paper_supply,suggested_action
G01,实验班与对照班原始承重数据未附,无法复算32%提升,当前不能,附原始承重数据与统计检验
G02,学生样本量与基本特征未报告,代表性未知,需作者澄清,报告人数、班级、分组方式
G03,分组方式未说明(基础/提升/高阶如何分),分层有效性未知,需作者澄清,说明分组标准与依据
G04,评价量规无信效度验证,评价可靠性未知,否,试测验证量规效度
G05,GAI提示语质量评价无标准,"""明显改善""为印象",否,建立提示语质量评价标准
G06,GAI交互记录未附,无法核验GAI实际使用,当前不能,保存学生GAI对话记录
G07,方案数量统计未附,"""创新方案显著增多""无量化",否,统计各桥型方案数量
G08,无对照组设计细节,对照班实施方式不明,需作者澄清,说明对照班教学方式
G09,无统计检验,32%提升无显著性检验,否,报告t检验、效应量
G10,无延迟后测,效果持续性未知,否,增设延迟回测
G11,伦理与数据治理未说明,学生数据/GAI使用条件不清,需补材料,知情同意、GAI使用规范、数据保存
G12,期刊名与作者单位未标注,元数据不完整,需作者澄清,补全期刊名与单位
