asset_id,data_domain,asset_name,status,source_location,sample_scope,tool_fields,processing,reproducibility
D01,D1元数据,课题元数据与总指南,实际呈现,00_课题总览,1个课题,课题名、编号、主持人、单位、周期,文本提取,高
D02,D1元数据,开题论证书(最终版),实际呈现,00_课题总览/01,1份,研究目标、内容、计划、成果,PDF,高
D03,D1元数据,课题名称沿革与效力说明,实际呈现,00_课题总览/02,1份,原名vs现行名、效力依据,MD,高
D04,D1元数据,课题组成员与分工(12人),实际呈现,00_课题总览/03,12人,角色、分工、四阶段任务,MD,高
D05,D3研究逻辑,研究思路(螺旋式行动研究),设计数据,总指南第二节,1套,理论→需求→开发→实践→迭代→固化,设计陈述,高
D06,D3研究逻辑,四阶段研究计划,设计数据,总指南第二节,4阶段,基础研究/开发设计/实践验证/成果固化,计划,高;部分已完成
D07,D3研究逻辑,"研究目标(4项,含量化指标)",设计数据,总指南第二节,4项目标,创新思维提升20%、计算思维达标率≥85%,设计陈述,高;待验证
D08,D4课程开发,三阶六模块课程结构(21课时),设计数据(已实现),01基础研究/04,6模块21课时,基础启蒙2+技术实践15+综合创新4,MD+PDF+网站,高
D09,D4课程开发,六模块教学设计PDF,实际呈现,02开发设计/02,6份PDF,模块1-6完整教学设计,PDF,高
D10,D4课程开发,21课时课堂PPT(HTML版),实际呈现,02开发设计/新PPT,21课时,六模块HTML PPT,HTML,高
D11,D4课程开发,21课时课堂PPT(可编辑版),实际呈现,02开发设计/新PPT,6份pptx,六模块可编辑PPT,PPTX,高
D12,D4课程开发,校本课程网站(55文件),实际呈现,02开发设计/新网站,1个网站,6模块21课时网页,HTML/CSS/JS,高
D13,D4课程开发,PBL项目链设计,实际呈现,02开发设计/04,1套,项目链框架,MD+PDF,高
D14,D4课程开发,配套资源包(3类),实际呈现,02开发设计/06,3类,编程建模手册/3D打印指南/任务卡量规,MD+PDF,高
D15,D4课程开发,教师培训方案,实际呈现,02开发设计/05,1份,培训框架,MD+PDF,高
D16,D4课程开发,STEAM融合点对照说明,实际呈现,02开发设计/01,1份,各模块STEAM融合点,MD+PDF,高
D17,D5技术方案,教学样件(FCStd/STL/PY),实际呈现,02开发设计/03,10项主编号,钥匙扣/笔筒/支架/积木/桥梁等,FCStd+STL+PY,高;代码可查
D18,D5技术方案,样件生成代码(Python),实际呈现,02开发设计/03/生成代码,10份PY,参数化建模代码,Python,高;可运行
D19,D5技术方案,桥梁有限元分析(FEM),实际呈现,02开发设计/03/桥梁FEM,1套,CalculiX仿真结果,INP/JSON/DAT,高;可复算
D20,D5技术方案,样件轴测图,实际呈现,02开发设计/03/样件轴测图,14张PNG,各样件3D渲染图,PNG,高
D21,D4教学实施,实验班学生名单(60人),真实实施数据,03实践验证/01,60人(2班×30),A01-A30/B01-B30,MD+PDF,高;内部使用
D22,D4教学实施,研究课1:参数化笔筒(2025-11-08),真实实施数据,03实践验证/02,选修一班30人,教学设计/活动记录/实施反思/观察/作品,MD+PDF,中;已实施
D23,D4教学实施,研究课2:FreeCAD装配(2026-03-14),真实实施数据,03实践验证/02,选修二班30人,教学设计/活动记录/实施反思,MD+PDF,中;已实施
