claim_id,claim,raw_data,analysis,evidence_location,counterexample_limit,support_level,verification_status
C01,基于STEAM理念的函数教案设计已完成(2案例×2版),教案设计全文+附录,文档审查,第4章+附录E-H,—,强(设计存在)
C02,案例一(指数对数幂函数)已实施,课堂观察+录像+问卷,案例研究,第4章第39-51页,单班无对照,中(已实施)
C03,案例二(三角函数)已实施,课堂观察+录像+问卷,案例研究,第4章第51-62页,单班无对照,中(已实施)
C04,案例一问卷信效度良好,α=0.910;KMO=0.861,SPSS分析,第3章第20页,案例二未报告,中(案例一);案例二缺失
C05,学生学习动机高,问卷:吸引力期望1.36/热情1.48,数学期望分析,第4章第39-51页,无前测基线,中(课后态度)
C06,学生偏好STEAM教学(76%)vs常规教学(14%),问卷主观题,频数分析,第4章,无前测、社会期许,中(课后偏好)
C07,教学目标基本达成,问卷各维度数学期望<2.75,数学期望分析,第4章,无前后测对比,中(课后自陈)
C08,STEAM理念6维度得到体现,观测表√/×评定,W教师评定,附录I/J,单评、无评分者一致性,中(单评)
C09,多元化教学目标是STEAM课程重要保证,3个结论之一,作者归纳,第5章第68页,—,中(作者结论)
C10,STEAM数学教学有利于培养数学核心素养,3个结论之二,作者归纳,第5章第68页,无前后测、无对照,弱(因果)
C11,学情把握是项目主题选取首要前提,3个结论之三,作者归纳,第5章第68-69页,—,中(经验总结)
C12,教案修订后更完善(第二版),版本对比,文本对比,附录E-H,无第二版实施数据,中(设计改进);弱(效果未验证)
