asset_id,data_domain,asset_name,status,source_location,sample_scope,tool_fields,processing,reproducibility
D01,D1元数据,论文元数据,实际呈现,封面、页眉,1篇论文,题名、作者、单位、期刊、年份、文章编号,文本提取,高
D02,D2参考文献,文后参考文献,实际呈现,第4页,9编号、9实体、0正文引用,书目,已提取,高;正文无引用标记
D03,D3研究逻辑,研究背景与问题,实际呈现,第1页第1节,1节,3D打印+编程建模评价不足,文本提取,高
D04,D3研究逻辑,三维评价框架设计,实际呈现,第1-2页第2节,3维,过程性/结果性/发展性,作者设计,高
D05,D3研究逻辑,多元化评价方法,实际呈现,第2页第2节,5种方法,技术平台追踪/量规/多元主体/作品集/反思对话,作者设计,高
D06,D4教学实施,教学案例:可变形收纳盒项目,真实实施数据,第2-4页第3节,高一、2轮实施,项目目标6项、核心评价3环节,叙事记录+评价表,中
D07,D4工程过程,学生A的CT/EDT观察记录表,真实实施数据,第3页表1,1名学生,4维度16观察点、等级评定,教师观察记录,中;单生样例
D08,D4量化数据,学生A作品评价(四维度),真实实施数据,第3-4页,1名学生4维度,技术实现/功能性/创新美感/文档表达,教师评定,中;单生样例
D09,D4量化数据,学生B作品评价(四维度),真实实施数据,第4页,1名学生4维度,同上,教师评定,中;单生样例
D10,D4学生交流,协作沟通量规(自评+互评),真实实施数据,第3页,学生A/D,量规评定,自评+组员互评,中
D11,D4工程过程,数字脚印(Git历史/LMS),真实实施数据,第3页,学生A,提交频率、函数重构次数、代码版本,平台记录,中
D12,D4学生交流,发展性评价:学生D前后对比,真实实施数据,第4页,1名学生,前期项目vs本次项目反思日志,文本对比,中;单生样例
D13,D4工程过程,成长档案袋(学生A),真实实施数据,第4页,1名学生,参数化建模能力提升轨迹,档案袋,中;单生样例
D14,D4教学实施,教师评语,真实实施数据,第4页,1名学生,算法逻辑/函数封装/制造约束,教师评语,低
D15,D4教学实施,评价数据驱动的教学调整,真实实施数据,第4页,4项调整,壁厚控制/预判能力/生物仿生/分组策略,教师反思,中
D16,D6主张证据,实践成效(5维度),部分呈现,第4页第4节,2轮实施、全体学生,计算思维/工程设计/创新表达/协作/反思,教师观察归纳,中;无量化数据
D17,D6主张证据,评价体系自身优化,部分呈现,第4页第4节,2轮实施,量规修订/评分一致性/主体参与,教师反思,中
D18,D7缺口,量规原始评分数据,应存在,教学过程,全体学生×各维度,分数、等级、评语,未随论文附,不可复核
D19,D7缺口,对照组或对比班,应存在,研究过程,无,无,无,不可复核
D20,D7缺口,学生前后测标准化数据,应存在,发展性评价,全体学生,计算思维前后测、设计挑战前后测,提及但未呈现数据,不可复核
D21,D7缺口,学生样本量与基本特征,应存在,教学实施,未报告,人数、性别、背景,未报告,不可复核
