claim_id,claim,raw_data,analysis,evidence_location,counterexample_limit,support_level,verification_status
C01,11份教案覆盖必修一全7章+必修二全4单元,教案清单,文档审查,总览HTML,—,强(设计覆盖)
C02,每份教案均含五维核心素养目标,11份教案目标,设计审查,各教案,无目标达成度测量,强(设计存在)
C03,AI以工程顾问/分析助手/评价伙伴三种角色融入教学,AI应用原则+各教案AI融合点,设计审查,总览+各教案,无AI使用实施数据,中(设计存在)
C04,FreeCAD模型作为可视化教学支架,4个模型+各教案引用点,文件审查,模型目录+各教案,—,强(模型存在)
C05,教案8(结构设计)采用OBE-GAI范式虚实双线,教案8设计,设计审查,必修二/08,未实施,中(设计存在)
C06,教案11(闭环控制)采用跨学科类比(体温调节),教案11设计,设计审查,必修二/11,未实施,中(设计存在)
C07,3个原创教学工具(三棱镜/五步法/反馈环),工具设计,设计审查,教案3/8/11,无工具效度验证,中(设计存在)
C08,"AI应用遵循""批判性使用""原则",AI应用原则,设计陈述,总览HTML,—,强(设计原则)
C09,教案覆盖苏教版教材核心章节,教材对照,对照分析,各教案+教材,—,强(覆盖确认)
C10,教案目标与课标5大核心素养对应,课标对照,对照分析,各教案+课标,—,强(对应确认)
C11,教案可实施(含教学过程/重难点/策略),教学过程设计,设计审查,各教案,未实施验证,中(设计);弱(效果)
C12,AI赋能能提升教学效果,预期成效,预期陈述,总览,无实施数据,弱(预期)
