data_domain,metric,value,unit_or_denominator,sample,analysis_method,evidence_location,verification_note
问卷抽样,高一总人数,1011,人,高一全体,总体统计,第4章第31页,"休学3人,在校1011人"
问卷抽样,显著水平α,0.05,,有限总体,公式设定,第4章第31页,论文报告值
问卷抽样,置信度,0.95,,有限总体,1-α,第4章第31页,论文报告值
问卷抽样,分位数k,1.96,,有限总体,正态分布,第4章第31页,论文报告值
问卷抽样,最小样本量n,279,份,有限总体,抽样公式,第4章第31页,论文报告值
问卷抽样,实际发放有效问卷,614,份,14个班级,问卷调查,第4章第31页,超过最小要求
问卷抽样,发放班级数,14,个,高一,问卷调查,第4章第31页,"实施班为7个,关系未说明"
知识软件掌握,能熟练操作,64,人/10.42%,614份,频数分析,第4章表4-1,论文报告值
知识软件掌握,基本能操作,507,人/82.57%,614份,频数分析,第4章表4-1,论文报告值
知识软件掌握,操作困难,43,人/7%,614份,频数分析,第4章表4-1,论文报告值
知识软件掌握,基本水平以上合计,93,%,614份,频数合计,第4章表4-1,熟练+基本
知识软件掌握,很熟悉,43,人/7%,614份,频数分析,第4章表4-2,论文报告值
知识软件掌握,基本熟悉,485,人/78.99%,614份,频数分析,第4章表4-2,论文报告值
知识软件掌握,不太熟悉,86,人/14.01%,614份,频数分析,第4章表4-2,论文报告值
知识软件掌握,很熟悉男女差,62.8,%,614份,性别交叉,第4章图4-7,男生高于女生
学习兴趣,感兴趣,192,人/31.27%,614份,频数分析,第4章表4-3,论文报告值
学习兴趣,一般,374,人/60.91%,614份,频数分析,第4章表4-3,论文报告值
学习兴趣,不感兴趣,48,人/7.82%,614份,频数分析,第4章表4-3,论文报告值
学习兴趣,3D建模软件使用,203,人/33.06%,614份,频数分析,第4章表4-4,论文报告值
学习兴趣,3D打印技术原理,80,人/13.03%,614份,频数分析,第4章表4-4,论文报告值
学习兴趣,3D打印机操作应用,247,人/40.23%,614份,频数分析,第4章表4-4,最高比例
学习兴趣,其他,84,人/13.68%,614份,频数分析,第4章表4-4,论文报告值
学习兴趣,想继续学习,227,人/36.97%,614份,频数分析,第4章表4-5,论文报告值
学习兴趣,看情况,334,人/54.4%,614份,频数分析,第4章表4-5,论文报告值
学习兴趣,不想,53,人/8.63%,614份,频数分析,第4章表4-5,论文报告值
创新意识,对其他科目有帮助,221,人/35.99%,614份,频数分析,第4章表4-6,自陈数据
创新意识,还不清楚,343,人/55.86%,614份,频数分析,第4章表4-6,论文报告值
创新意识,没有帮助,50,人/8.14%,614份,频数分析,第4章表4-6,论文报告值
创新意识,有帮助男女差,11.32,%,614份,性别交叉,第4章图4-9,男生高于女生
创新意识,希望创意变现实,464,人/75.57%,614份,频数分析,第4章表4-7,论文报告值
创新意识,无所谓,138,人/22.48%,614份,频数分析,第4章表4-7,论文报告值
创新意识,不希望,12,人/1.95%,614份,频数分析,第4章表4-7,论文报告值
课程形式,老师讲学生听,29,人/4.72%,614份,频数分析,第4章表4-8,论文报告值
课程形式,老师案例学生模仿,121,人/19.71%,614份,频数分析,第4章表4-8,论文报告值
课程形式,基础知识+自主设计,429,人/69.87%,614份,频数分析,第4章表4-8,最高比例
课程形式,其他,35,人/5.7%,614份,频数分析,第4章表4-8,论文报告值
课程形式,希望小组合作,394,人/64.17%,614份,频数分析,第4章表4-9,论文报告值
课程形式,无所谓,196,人/31.92%,614份,频数分析,第4章表4-9,论文报告值
课程形式,不希望,24,人/3.91%,614份,频数分析,第4章表4-9,论文报告值
课程内容及表现,会跟不上,63,人/10.26%,614份,频数分析,第4章表4-10,论文报告值
课程内容及表现,偶尔,363,人/59.12%,614份,频数分析,第4章表4-10,论文报告值
课程内容及表现,不会,188,人/30.62%,614份,频数分析,第4章表4-10,论文报告值
课程内容及表现,希望展示,245,人/39.9%,614份,频数分析,第4章表4-11,论文报告值
课程内容及表现,无所谓,303,人/49.35%,614份,频数分析,第4章表4-11,论文报告值
课程内容及表现,不希望,66,人/10.75%,614份,频数分析,第4章表4-11,论文报告值
课程内容及表现,希望展示男女差,13.46,%,614份,性别交叉,第4章图4-11,男生高于女生
课程内容及表现,很想操作,292,人/47.56%,614份,频数分析,第4章表4-12,论文报告值
课程内容及表现,一般,290,人/47.23%,614份,频数分析,第4章表4-12,论文报告值
课程内容及表现,不想,32,人/5.21%,614份,频数分析,第4章表4-12,论文报告值
课程实施,实施班级数,7,个,高一,行动研究,第4章第30页,作者所教班级
课程实施,学期时长,1,学期,高一,行动研究,第3章第16页,论文报告值
课程实施,3D打印机数量,1,台,学校,采购,第4章第39页,预购2台实购1台
竞赛,年级设计比赛参赛,36,人,高一,竞赛记录,第3章第23页,"2名女生,性别极不平衡"
期末评价,成绩等级数,4,级,7个班级,科组评定,第4章第30页,90+/80-89/70-79/60-69
期末评价,评分者一致性,缺失,,,未报告,第4章第30页,"科组多老师,校准未说明"
