gap_id,gap_description,impact,can_paper_supply,suggested_action
G01,学生原始活动记录未附,无法核验活动完成质量,当前不能,收集问题记录/信息表/技术要求表
G02,无前后测数据,无法量化素养提升,否,增设前后测
G03,无对照组,不能排除其他因素,否,增设对照课
G04,教学成效仅教师观察,"""参与度很高""无量化",否,补充量化指标
G05,仅呈现第1课时(发现与明确问题),4课时全程未呈现,是(待补充),补充后续3课时实施记录
G06,学生设计方案未到方案阶段,无法评估设计质量,是(待实施),完成后续课时并收集方案
G07,评价量规未附,评价标准不明确,当前不能,附评价量规
G08,无评分者一致性,评价可靠性未知,否,双评+一致率
G09,正文无参考文献引用标记,文献使用无法追溯,否,建议补引用标记
G10,学生样本量与基本特征未报告,代表性未知,需作者澄清,报告人数、班级
G11,伦理与数据治理未说明,学生数据使用条件不清,需补材料,知情同意、数据保存
G12,大概念教学可行性仅单次反思,不能证明普适性,否,多次实施并采集数据
